PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Rank,TotalPoints
K.J. Hamler,2563890,WR,DEN,,,,,,,,,,,,5.93,,,,,158,0.00
Josh Hammond,2564193,WR,FA,,,,,,,,,,,,,,,,,159,0.00
Chad Hansen,2558069,WR,FA,,,,,,,,,,,,,,,,,160,0.00
Mecole Hardman,2562580,WR,KC,,,,,,,,,,,,7.69,,,,,161,0.00
Kelvin Harmon,2562577,WR,FA,,,,,,,,,,,,,,,,,162,0.00
De'Michael Harris,2564124,WR,FA,,,,,,,,,,,,,,,,,163,0.00
Deonte Harris,2563155,WR,NO,,,,,,,,,,,,11.16,,,,,164,0.00
N'Keal Harry,2562659,WR,NE,,,,,,,,,,,,,,,,,165,0.00
Penny Hart,2562804,WR,SEA,,,,,,,,,,,,,,,,,166,0.00
Jeremiah Haydel,2566223,WR,FA,,,,,,,,,,,,,,,,,167,0.00
Tee Higgins,2563731,WR,CIN,,,,,,,,,,,,,,,,,168,0.00
John Hightower,2564829,WR,FA,,,,,,,,,,,,,,,,,169,0.00
K.J. Hill,2565048,WR,FA,,,,,,,,,,,,,,,,,170,0.00
Kendall Hinton,2563893,WR,DEN,,,,,,,,,,,,5.93,,,,,171,0.00
KhaDarel Hodge,2561653,WR,DET,,,,,,,,,,,,,,,,,172,0.00
Isaiah Hodgins,2563611,WR,FA,,,,,,,,,,,,,,,,,173,0.00
Chris Hogan,2530515,WR,FA,,,,,,,,,,,,,,,,,174,0.00
Krishawn Hogan,2559286,WR,FA,,,,,,,,,,,,,,,,,175,0.00
Alexander Hollins,2562989,WR,FA,,,,,,,,,,,,,,,,,176,0.00
Mack Hollins,2558262,WR,MIA,,,,,,,,,,,,8.12,,,,,177,0.00
Cody Hollister,2558955,WR,FA,,,,,,,,,,,,,,,,,178,0.00
Lil'Jordan Humphrey,2562668,WR,NO,,,,,,,,,,,,11.16,,,,,179,0.00
Adam Humphries,2553895,WR,WAS,,,,,,,,,,,,,,,,,180,0.00
Jalen Hurd,2562287,WR,SF,,,,,,,,,,,,7.62,,,,,181,0.00
Allen Hurns,2550353,WR,MIA,,,,,,,,,,,,8.12,,,,,182,0.00
John Hurst,2565222,WR,FA,,,,,,,,,,,,,,,,,183,0.00
Ishmael Hyman,2562953,WR,FA,,,,,,,,,,,,,,,,,184,0.00
Josh Imatorbhebhe,2565621,WR,FA,,,,,,,,,,,,,,,,,185,0.00
Trenton Irwin,2562900,WR,CIN,,,,,,,,,,,,,,,,,186,0.00
Andy Isabella,2562669,WR,ARI,,,,,,,,,,,,,,,,,187,0.00
Thomas Ives,2563076,WR,FA,,,,,,,,,,,,,,,,,188,0.00
Trishton Jackson,2564355,WR,FA,,,,,,,,,,,,,,,,,189,0.00
Richie James,2560761,WR,SF,,,,,,,,,,,,7.62,,,,,190,0.00
Justin Jefferson,2564556,WR,MIN,,,,,,,,,,,,9.69,,,,,191,0.00
Van Jefferson,2564358,WR,LA,,,,,,,,,,,,10.54,,,,,192,0.00
Gary Jennings,2562292,WR,FA,,,,,,,,,,,,,,,,,193,0.00
Jauan Jennings,2565114,WR,SF,,,,,,,,,,,,7.62,,,,,194,0.00
Jerry Jeudy,2563896,WR,DEN,,,,,,,,,,,,5.93,,,,,195,0.00
Anthony Johnson,2562297,WR,FA,,,,,,,,,,,,,,,,,196,0.00
Bisi Johnson,2562465,WR,MIN,,,,,,,,,,,,9.69,,,,,197,0.00
Cade Johnson,2567115,WR,FA,,,,,,,,,,,,,,,,,198,0.00
Collin Johnson,2564202,WR,NYG,,,,,,,,,,,,11.37,,,,,199,0.00
Diontae Johnson,2562674,WR,PIT,,,,,,,,,,,,8.48,,,,,200,0.00
Johnathon Johnson,2565313,WR,FA,,,,,,,,,,,,,,,,,201,0.00
Jon'Vea Johnson,2562839,WR,FA,,,,,,,,,,,,,,,,,202,0.00
