PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Fabian Moreau,2558136,DB,MIN,,,,,,,,,,,,,,,,,,537,0.00
Emmanuel Moseley,2561072,DB,DET,,,,,,,,,,,,,,,,,,538,0.00
Quandre Mosely,2568702,DB,FA,,,,,,,,,,,,,,,,,,539,0.00
Trayvon Mullen,2562380,DB,BAL,,,,,,,,,,,,,,,,,,540,0.00
Quinton Newsome,2573680,DB,DEN,,,,,,,,,,,,,,,,,,541,0.00
Parry Nickerson,2560822,DB,PHI,,,,,,,,,,,,,,,,,,542,0.00
Ben Nikkel,2573605,DB,WAS,,,,,,,,,,,,,,,,,,543,0.00
Morice Norris Jr.,2573139,DB,DET,,,,,,,,,,,,,,,,,,544,0.00
Michael Ojemudia,2563908,DB,FA,,,,,,,,,,,,,,,,,,545,0.00
Jeff Okudah,2563944,DB,HOU,,,,,,,,,,,,,,,,,,546,0.00
Gervarrius Owens,2570161,DB,TEN,,,,,,,,,,,,,,,,,,547,0.00
AJ Parker,2566908,DB,FA,,,,,,,,,,,,,,,,,,548,0.00
Mark Perry,2573277,DB,NE,,,,,,,,,,,,,,,,,,549,0.00
Jalyn Phillips,2573439,DB,FA,,,,,,,,,,,,,,,,,,550,0.00
Jayden Price,2572884,DB,FA,,,,,,,,,,,,,,,,,,551,0.00
Troy Pride,2563662,DB,FA,,,,,,,,,,,,,,,,,,552,0.00
Josh Proctor,2573199,DB,FA,,,,,,,,,,,,,,,,,,553,0.00
Sheldrick Redwine,2562711,DB,FA,,,,,,,,,,,,,,,,,,554,0.00
Elijah Riley,2564853,DB,NYG,,,,,,,,,,,,,,,,,,555,0.00
Willie Roberts,2573893,DB,FA,,,,,,,,,,,,,,,,,,556,0.00
Aaron Robinson,2566370,DB,FA,,,,,,,,,,,,,,,,,,557,0.00
Lance Robinson,2573016,DB,CIN,,,,,,,,,,,,,,,,,,558,0.00
Bradley Roby,2543505,DB,FA,,,,,,,,,,,,,,,,,,559,0.00
Darius Rush,2569867,DB,KC,,,,,,,,,,,,,,,,,,560,0.00
Andre' Sam,2572744,DB,PHI,,,,,,,,,,,,,,,,,,561,0.00
Phalen Sanford,2573238,DB,FA,,,,,,,,,,,,,,,,,,562,0.00
Anthony Sao,2572890,DB,FA,,,,,,,,,,,,,,,,,,563,0.00
Benny Sapp III,2570503,DB,FA,,,,,,,,,,,,,,,,,,564,0.00
Daniel Scott,2569852,DB,IND,,,,,,,,,,,,,,,,,,565,0.00
Eric Scott Jr.,2569693,DB,KC,,,,,,,,,,,,,,,,,,566,0.00
Josiah Scott,2564229,DB,FA,,,,,,,,,,,,,,,,,,567,0.00
Nehemiah Shelton,2571786,DB,FA,,,,,,,,,,,,,,,,,,568,0.00
Ja'Quan Sheppard,2573244,DB,FA,,,,,,,,,,,,,,,,,,569,0.00
Jaylin Simpson,2572132,DB,IND,,,,,,,,,,,,,,,,,,570,0.00
Derek Slywka,2573870,DB,FA,,,,,,,,,,,,,,,,,,571,0.00
Ameer Speed,2570113,DB,CHI,,,,,,,,,,,,,,,,,,572,0.00
Shon Stephens,2573829,DB,FA,,,,,,,,,,,,,,,,,,573,0.00
Caden Sterns,2566040,DB,FA,,,,,,,,,,,,,,,,,,574,0.00
Loren Strickland,2573145,DB,DET,,,,,,,,,,,,,,,,,,575,0.00
Jonathan Sutherland,2571390,DB,NYG,,,,,,,,,,,,,,,,,,576,0.00
Cameron Sutton,2558849,DB,PIT,,,,,,,,,,,,,,,,,,577,0.00
Tre Swilling,2568849,DB,NYJ,,,,,,,,,,,,,,,,,,578,0.00
Arnold Tarpley,2571793,DB,FA,,,,,,,,,,,,,,,,,,579,0.00
Jason Taylor II,2569975,DB,FA,,,,,,,,,,,,,,,,,,580,0.00
Keith Taylor,2565911,DB,KC,,,,,,,,,,,,,,,,,,581,0.00
Reese Taylor,2570722,DB,DEN,,,,,,,,,,,,,,,,,,582,0.00
Trey Taylor,2572240,DB,LV,,,,,,,,,,,,,,,,,,583,0.00
Roderic Teamer,2562981,DB,NO,,,,,,,,,,,,,,,,,,584,0.00
A.J. Thomas,2568399,DB,FA,,,,,,,,,,,,,,,,,,585,0.00
Ambry Thomas,2566547,DB,SF,,,,,,,,,,,,,,,,,,586,0.00
Kiondre Thomas,2566800,DB,FA,,,,,,,,,,,,,,,,,,587,0.00
Stantley Thomas-Oliver,2563689,DB,FA,,,,,,,,,,,,,,,,,,588,0.00
Josh Thompson,2567775,DB,FA,,,,,,,,,,,,,,,,,,589,0.00
NaJee Thompson,2571201,DB,MIN,,,,,,,,,,,,,,,,,,590,0.00
Trenton Thompson,2569155,DB,FA,,,,,,,,,,,,,,,,,,591,0.00
Jordan Toles,2572642,DB,FA,,,,,,,,,,,,,,,,,,592,0.00
Tre Tomlinson,2569978,DB,LAR,,,,,,,,,,,,,,,,,,593,0.00
Ro Torrence,2572783,DB,FA,,,,,,,,,,,,,,,,,,594,0.00
Delarrin Turner-Yell,2567532,DB,DEN,,,,,,,,,,,,,,,,,,595,0.00
Michael Tutsie,2571747,DB,FA,,,,,,,,,,,,,,,,,,596,0.00
Trey Vaval,2572896,DB,FA,,,,,,,,,,,,,,,,,,597,0.00
Mikey Victor,2573352,DB,FA,,,,,,,,,,,,,,,,,,598,0.00
Shaun Wade,2565854,DB,LAC,,,,,,,,,,,,,,,,,,599,0.00
Tracy Walker III,2560913,DB,FA,,,,,,,,,,,,,,,,,,600,0.00
Zamari Walton,2573809,DB,FA,,,,,,,,,,,,,,,,,,601,0.00
Ryan Watts,2572450,DB,PIT,,,,,,,,,,,,,,,,,,602,0.00
Andrew Whitaker,2571751,DB,FA,,,,,,,,,,,,,,,,,,603,0.00
Nick Whiteside,2571635,DB,FA,,,,,,,,,,,,,,,,,,604,0.00
Chris Wilcox,2566577,DB,FA,,,,,,,,,,,,,,,,,,605,0.00
Rachad Wildgoose,2565881,DB,FA,,,,,,,,,,,,,,,,,,606,0.00
Chase Williams,2573895,DB,FA,,,,,,,,,,,,,,,,,,607,0.00
Damarion Williams,2567316,DB,SEA,,,,,,,,,,,,,,,,,,608,0.00
Jaylin Williams,2571192,DB,FA,,,,,,,,,,,,,,,,,,609,0.00
Joejuan Williams,2562787,DB,FA,,,,,,,,,,,,,,,,,,610,0.00
Rayshad Williams,2573250,DB,FA,,,,,,,,,,,,,,,,,,611,0.00
Kendall Williamson,2569639,DB,LAC,,,,,,,,,,,,,,,,,,612,0.00
Divaad Wilson,2571032,DB,ARI,,,,,,,,,,,,,,,,,,613,0.00
Rashad Wisdom,2573593,DB,TB,,,,,,,,,,,,,,,,,,614,0.00
A.J. Woods,2573617,DB,PHI,,,,,,,,,,,,,,,,,,615,0.00
JT Woods,2568195,DB,CHI,,,,,,,,,,,,,,,,,,616,0.00
Daryl Worley,2555394,DB,TEN,,,,,,,,,,,,,,,,,,617,0.00
Nahshon Wright,2566022,DB,MIN,,,,,,,,,,,,,,,,,,618,0.00
Rejzohn Wright,2570783,DB,NO,,,,,,,,,,,,,,,,,,619,0.00
Russ Yeast,2567865,DB,FA,,,,,,,,,,,,,,,,,,620,0.00
Christian Young,2571399,DB,FA,,,,,,,,,,,,,,,,,,621,0.00
