PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Brenton Strange,2569912,TE,JAX,,,,,,13,131,2,,,,,7.93,,13,13,13,20,65,3,,3,17,31.60
Noah Fant,2562383,TE,SEA,,,,,,20,198,,,,,,8.70,,20,20,20,24,83,1,,1,18,31.30
Mark Andrews,2560957,TE,BAL,,,,,,13,186,1,,,,,8.13,,13,13,13,18,72,2,1,,19,31.10
Tyler Conklin,2561027,TE,NYJ,,,,,,19,191,,,,,,10.48,,19,19,19,30,63,2,1,1,20,28.60
Foster Moreau,2562317,TE,NO,,,,,,9,112,2,,,,,10.25,,9,9,9,10,90,2,,2,21,27.70
Mike Gesicki,2560994,TE,CIN,,,,,,17,178,,,,,,6.37,,17,17,17,21,81,2,,,22,26.30
Colby Parkinson,2565180,TE,LAR,,,,,,19,165,,,,,,7.25,,19,19,19,32,59,7,2,2,23,26.00
Juwan Johnson,2564676,TE,NO,,,,,,12,118,1,,,,,10.25,,12,12,12,14,86,1,,,24,23.80
Dalton Schultz,2560866,TE,HOU,,,,,,18,143,,,,,,11.27,,18,18,18,30,60,1,1,,25,23.30
Jordan Akins,2560951,TE,CLE,,,,,,12,98,1,,,,,10.05,,12,12,12,17,71,2,,1,26,21.80
Charlie Kolar,2567280,TE,BAL,,,,2,,5,98,1,,,,,8.13,1,5,6,5,6,83,1,,1,27,21.50
Jonnu Smith,2558207,TE,MIA,,,,-1,,14,140,,,,,,10.95,1,14,15,14,21,67,2,1,,28,21.50
Elijah Higgins,2570068,TE,ARI,,,,,,7,55,2,,,,,9.36,,7,7,7,8,88,2,,1,29,21.00
Taysom Hill,2558954,TE,NO,,,,77,2,2,2,,,,,,10.25,14,2,16,2,3,67,,1,,30,20.90
Mo Alie-Cox,2558832,TE,IND,,,,,,7,100,1,,,,,5.72,,7,7,7,11,64,4,,1,31,19.50
Erick All,2571916,TE,CIN,,,,,,16,102,,,,,,6.37,,16,16,16,17,94,,,,32,18.20
Chig Okonkwo,2567658,TE,TEN,,,,,,11,57,1,,,,1,7.32,,11,11,11,13,85,2,,2,33,18.20
Johnny Mundt,2558875,TE,MIN,,,,,,9,75,1,,,,,6.32,,9,9,9,13,69,2,,1,34,18.00
