PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Otis Reese,2571485,LB,FA,,,,,,,,,,,,,,,,,,359,0.00
Winston Reid,2573031,LB,CLE,,,,,,,,,,,,,,,,,,360,0.00
Cam Riley,2574382,LB,FA,,,,,,,,,,,,,,,,,,361,0.00
Duke Riley,2557967,LB,FA,,,,,,,,,,,,,,,,,,362,0.00
Malcolm Rodriguez,2567562,LB,DET,,,,,,,,,,,,,,,,,,363,0.00
Josh Ross,2567307,LB,FA,,,,,,,,,,,,,,,,,,364,0.00
J.J. Russell,2569308,LB,ARI,,,,,,,,,,,,,,,,,,365,0.00
Drew Sanders,2569711,LB,DEN,,,,,,,,,,,,,,,,,,366,0.00
Nephi Sewell,2569107,LB,NO,,,,,,,,,,,,,,,,,,367,0.00
Jamie Sheriff,2573892,LB,SEA,,,,,,,,,,,,,,,,,,368,0.00
Isaiah Simmons,2564940,LB,FA,,,,,,,,,,,,,,,,,,369,0.00
Aaron Smith,2574449,LB,FA,,,,,,,,,,,,,,,,,,370,0.00
Elerson G. Smith,2566373,LB,FA,,,,,,,,,,,,,,,,,,371,0.00
Jaylon Smith,2555310,LB,FA,,,,,,,,,,,,,,,,,,372,0.00
Tyreke Smith,2568276,LB,KC,,,,,,,,,,,,,,,,,,373,0.00
Baylon Spector,2567337,LB,BUF,,,,,,,,,,,,,,,,,,374,0.00
Wesley Steiner,2574310,LB,FA,,,,,,,,,,,,,,,,,,375,0.00
Ty Summers,2562748,LB,DET,,,,,,,,,,,,,,,,,,376,0.00
Charlie Thomas,2570852,LB,FA,,,,,,,,,,,,,,,,,,377,0.00
Keir Thomas,2567856,LB,LAR,,,,,,,,,,,,,,,,,,378,0.00
Xavier Thomas,2572435,LB,ARI,,,,,,,,,,,,,,,,,,379,0.00
Channing Tindall,2567898,LB,ARI,,,,,,,,,,,,,,,,,,380,0.00
Maxwell Tooley,2573166,LB,FA,,,,,,,,,,,,,,,,,,381,0.00
Bralen Trice,2571817,LB,ATL,,,,,,,,,,,,,,,,,,382,0.00
