PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Gervarrius Owens,2570161,DB,FA,Bye,,,,,,,,,,,,,,,,,,,432,0.00,
Jonathan Owens,2561255,DB,CHI,MIN,,,,,,,,,,,,,,,,,,1.29,433,0.00,-1.29
Tyler Owens,2573608,DB,WAS,DAL,,,,,,,,,,,,,,,,,,0.72,434,0.00,-0.72
AJ Parker,2566908,DB,FA,Bye,,,,,,,,,,,,,,,,,,,435,0.00,
Rico Payton,2573394,DB,NO,Bye,,,,,,,,,,,,,,,,,,,436,0.00,
Jabrill Peppers,2557980,DB,NE,@MIA,,,,,,,,,,,,,,,,,,5.85,437,0.00,-5.85
Mark Perry,2573277,DB,NE,@MIA,,,,,,,,,,,,,,,,,,0.00,438,0.00,0.0
Dell Pettus,2573346,DB,NE,@MIA,,,,,,,,,,,,,,,,,,2.55,439,0.00,-2.55
Andru Phillips,2572348,DB,NYG,TB,,,,,,,,,,,,,,,,,,1.78,440,0.00,-1.78
Clark Phillips III,2569546,DB,ATL,Bye,,,,,,,,,,,,,,,,,,,441,0.00,
Jalyn Phillips,2573439,DB,FA,Bye,,,,,,,,,,,,,,,,,,,442,0.00,
James Pierre,2565003,DB,PIT,@CLE,,,,,,,,,,,,,,,,,,0.70,443,0.00,-0.7
Jason Pinnock,2565753,DB,NYG,TB,,,,,,,,,,,,,,,,,,1.39,444,0.00,-1.39
Jalen Pitre,2567688,DB,HOU,TEN,,,,,,,,,,,,,,,,,,9.45,445,0.00,-9.45
Isaiah Pola-Mao,2568993,DB,LV,DEN,,,,,,,,,,,,,,,,,,6.89,446,0.00,-6.89
Joey Porter Jr.,2570251,DB,PIT,@CLE,,,,,,,,,,,,,,,,,,6.80,447,0.00,-6.8
Jordan Poyer,2539290,DB,MIA,NE,,,,,,,,,,,,,,,,,,7.43,448,0.00,-7.43
Bobby Price,2563953,DB,WAS,DAL,,,,,,,,,,,,,,,,,,0.00,449,0.00,0.0
Jayden Price,2572884,DB,FA,Bye,,,,,,,,,,,,,,,,,,,450,0.00,
Troy Pride,2563662,DB,FA,Bye,,,,,,,,,,,,,,,,,,,451,0.00,
Deantre Prince,2572153,DB,JAX,Bye,,,,,,,,,,,,,,,,,,,452,0.00,
Nehemiah Pritchett,2572534,DB,SEA,ARI,,,,,,,,,,,,,,,,,,0.81,453,0.00,-0.81
Josh Proctor,2573199,DB,FA,Bye,,,,,,,,,,,,,,,,,,,454,0.00,
Ennis Rakestraw Jr.,2572018,DB,DET,@IND,,,,,,,,,,,,,,,,,,1.01,455,0.00,-1.01
Jalen Ramsey,2555280,DB,MIA,NE,,,,,,,,,,,,,,,,,,7.63,456,0.00,-7.63
Taylor Rapp,2562707,DB,BUF,Bye,,,,,,,,,,,,,,,,,,,457,0.00,
Jeremy Reaves,2561394,DB,WAS,DAL,,,,,,,,,,,,,,,,,,1.20,458,0.00,-1.2
Sheldrick Redwine,2562711,DB,FA,Bye,,,,,,,,,,,,,,,,,,,459,0.00,
D.J. Reed,2560850,DB,NYJ,Bye,,,,,,,,,,,,,,,,,,,460,0.00,
