PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Nate Sudfeld,2555427,QB,FA,Bye,,,,,,,,,,,,,,114,0.00,
Colby Suits,2572862,QB,FA,Bye,,,,,,,,,,,,,,115,0.00,
Tua Tagovailoa,2564499,QB,MIA,NE,,,,,,,,,,,,,15.84,116,0.00,-15.84
Ryan Tannehill,2532956,QB,FA,Bye,,,,,,,,,,,,,,117,0.00,
Tyrod Taylor,2495240,QB,NYJ,Bye,,,,,,,,,,,,,,118,0.00,
Skylar Thompson,2567895,QB,MIA,NE,,,,,,,,,,,,,0.00,119,0.00,0.0
Dorian Thompson-Robinson,2569672,QB,CLE,PIT,,,,,,,,,,,,,0.00,120,0.00,0.0
Kyle Trask,2566571,QB,TB,@NYG,,,,,,,,,,,,,0.00,121,0.00,0.0
Jordan Travis,2572372,QB,NYJ,Bye,,,,,,,,,,,,,,122,0.00,
Mitchell Trubisky,2558008,QB,BUF,Bye,,,,,,,,,,,,,,123,0.00,
Clayton Tune,2570236,QB,ARI,@SEA,,,,,,,,,,,,,0.00,124,0.00,0.0
PJ Walker,2558904,QB,FA,Bye,,,,,,,,,,,,,,125,0.00,
Deshaun Watson,2558063,QB,CLE,PIT,,,,,,,,,,,,,0.00,126,0.00,0.0
Carson Wentz,2555259,QB,KC,@CAR,,,,,,,,,,,,,0.00,127,0.00,0.0
Mike White,2560929,QB,BUF,Bye,,,,,,,,,,,,,,128,0.00,
Caleb Williams,2571913,QB,CHI,MIN,,,,,,,,,,,,,15.23,129,0.00,-15.23
Malik Willis,2567667,QB,GB,SF,,,,,,,,,,,,,0.00,130,0.00,0.0
Russell Wilson,2532975,QB,PIT,@CLE,,,,,,,,,,,,,11.17,131,0.00,-11.17
Zach Wilson,2566391,QB,DEN,@LV,,,,,,,,,,,,,0.00,132,0.00,0.0
Dresser Winn,2569990,QB,FA,Bye,,,,,,,,,,,,,,133,0.00,
Jameis Winston,2552033,QB,CLE,PIT,,,,,,,,,,,,,11.13,134,0.00,-11.13
John Wolford,2561718,QB,FA,Bye,,,,,,,,,,,,,,135,0.00,
Logan Woodside,2560942,QB,CIN,Bye,,,,,,,,,,,,,,136,0.00,
Bryce Young,2569606,QB,CAR,KC,,,,,,,,,,,,,0.00,137,0.00,0.0
Bailey Zappe,2567961,QB,CLE,PIT,,,,,,,,,,,,,0.00,138,0.00,0.0
