PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Danielle Hunter,2552603,DL,HOU,TEN,,,,,,,,,,,,,,,,,,10.02,200,0.00,-10.02
Maurice Hurst,2560748,DL,CLE,PIT,,,,,,,,,,,,,,,,,,0.53,201,0.00,-0.53
Jaylon Hutchings,2573894,DL,FA,Bye,,,,,,,,,,,,,,,,,,,202,0.00,
Aidan Hutchinson,2567547,DL,DET,@IND,,,,,,,,,,,,,,,,,,9.18,203,0.00,-9.18
Siaki Ika,2569675,DL,CLE,PIT,,,,,,,,,,,,,,,,,,0.00,204,0.00,0.0
Isaiah Iton,2573455,DL,TEN,@HOU,,,,,,,,,,,,,,,,,,0.00,205,0.00,0.0
Brennan Jackson,2572198,DL,LAR,PHI,,,,,,,,,,,,,,,,,,1.66,206,0.00,-1.66
Drake Jackson,2568213,DL,SF,@GB,,,,,,,,,,,,,,,,,,0.85,207,0.00,-0.85
Jordan Jackson,2567970,DL,DEN,@LV,,,,,,,,,,,,,,,,,,0.00,208,0.00,0.0
McKinnley Jackson,2571925,DL,CIN,Bye,,,,,,,,,,,,,,,,,,,209,0.00,
Savion Jackson,2573427,DL,FA,Bye,,,,,,,,,,,,,,,,,,,210,0.00,
Tarron Jackson,2566400,DL,CAR,KC,,,,,,,,,,,,,,,,,,2.13,211,0.00,-2.13
Grady Jarrett,2552327,DL,ATL,Bye,,,,,,,,,,,,,,,,,,,212,0.00,
Javontae Jean-Baptiste,2572570,DL,WAS,DAL,,,,,,,,,,,,,,,,,,0.74,213,0.00,-0.74
Trajan Jeffcoat,2573379,DL,FA,Bye,,,,,,,,,,,,,,,,,,,214,0.00,
Jordan Jefferson,2572141,DL,JAX,Bye,,,,,,,,,,,,,,,,,,,215,0.00,
Quinton Jefferson,2555358,DL,CLE,PIT,,,,,,,,,,,,,,,,,,0.65,216,0.00,-0.65
John Jenkins,2539231,DL,LV,DEN,,,,,,,,,,,,,,,,,,3.88,217,0.00,-3.88
Kris Jenkins,2571928,DL,CIN,Bye,,,,,,,,,,,,,,,,,,,218,0.00,
Austin Johnson,2556368,DL,BUF,Bye,,,,,,,,,,,,,,,,,,,219,0.00,
Cedric Johnson,2571931,DL,CIN,Bye,,,,,,,,,,,,,,,,,,,220,0.00,
Desjuan Johnson,2569969,DL,LAR,PHI,,,,,,,,,,,,,,,,,,1.78,221,0.00,-1.78
Durrell Johnson,2570879,DL,DAL,@WAS,,,,,,,,,,,,,,,,,,0.00,222,0.00,0.0
Eric Johnson,2567703,DL,NE,@MIA,,,,,,,,,,,,,,,,,,0.65,223,0.00,-0.65
Jaleel Johnson,2557845,DL,FA,Bye,,,,,,,,,,,,,,,,,,,224,0.00,
Raymond Johnson III,2566674,DL,FA,Bye,,,,,,,,,,,,,,,,,,,225,0.00,
Tyreek Johnson,2572696,DL,FA,Bye,,,,,,,,,,,,,,,,,,,226,0.00,
Kingsley Jonathan,2569339,DL,BUF,Bye,,,,,,,,,,,,,,,,,,,227,0.00,
Andre Jones Jr.,2570383,DL,WAS,DAL,,,,,,,,,,,,,,,,,,0.00,228,0.00,0.0
Benito Jones,2564466,DL,MIA,NE,,,,,,,,,,,,,,,,,,0.74,229,0.00,-0.74
Buddha Jones,2572865,DL,FA,Bye,,,,,,,,,,,,,,,,,,,230,0.00,
Chris Jones,2556369,DL,KC,@CAR,,,,,,,,,,,,,,,,,,6.92,231,0.00,-6.92
D.J. Jones,2558265,DL,DEN,@LV,,,,,,,,,,,,,,,,,,3.99,232,0.00,-3.99
DaQuan Jones,2543504,DL,BUF,Bye,,,,,,,,,,,,,,,,,,,233,0.00,
Dre'Mont Jones,2562412,DL,SEA,ARI,,,,,,,,,,,,,,,,,,4.43,234,0.00,-4.43
Justin Jones,2560769,DL,ARI,@SEA,,,,,,,,,,,,,,,,,,0.00,235,0.00,0.0
Naquan Jones,2566953,DL,ARI,@SEA,,,,,,,,,,,,,,,,,,0.00,236,0.00,0.0
Stephen Jones,2569167,DL,FA,Bye,,,,,,,,,,,,,,,,,,,237,0.00,
Travis Jones,2567277,DL,BAL,@LAC,,,,,,,,,,,,,,,,,,0.68,238,0.00,-0.68
Truman Jones,2570734,DL,KC,@CAR,,,,,,,,,,,,,,,,,,0.00,239,0.00,0.0
Cameron Jordan,2495184,DL,NO,Bye,,,,,,,,,,,,,,,,,,,240,0.00,
Linval Joseph,496802,DL,DAL,@WAS,,,,,,,,,,,,,,,,,,0.00,241,0.00,0.0
Sebastian Joseph-Day,2561079,DL,TEN,@HOU,,,,,,,,,,,,,,,,,,4.03,242,0.00,-4.03
Mohamed Kamara,2572243,DL,MIA,NE,,,,,,,,,,,,,,,,,,4.40,243,0.00,-4.4
Calijah Kancey,2570356,DL,TB,@NYG,,,,,,,,,,,,,,,,,,3.80,244,0.00,-3.8
Khalid Kareem,2563734,DL,ATL,Bye,,,,,,,,,,,,,,,,,,,245,0.00,
George Karlaftis,2567796,DL,KC,@CAR,,,,,,,,,,,,,,,,,,0.00,246,0.00,0.0
Mario Kendricks,2573849,DL,FA,Bye,,,,,,,,,,,,,,,,,,,247,0.00,
