PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Art Green,2570918,DB,NYG,Bye,,,,,,,,,,,,,,,,,,,359,201,0.00,
Renardo Green,2572495,DB,SF,Bye,,,,,,,,,,,,,,,,,,,360,202,0.00,
Shaquill Griffin,2558259,DB,SEA,@ATL,1.1,0.49,,0.06,0.06,,,,,,,,,,,0.8,,2.27,178,203,0.00,-2.27
Kamal Hadden,2572165,DB,GB,CHI,0.35,0.24,,0.06,0.06,,,,,,,,,0.12,,,,1.27,195,204,0.00,-1.27
Kahlef Hailassie,2570719,DB,MIN,WAS,,,,,,,,,,,,,,,,,,0.00,361,205,0.00,0.0
Maxwell Hairston,2573959,DB,BUF,CIN,1.47,0.67,0.07,0.13,0.07,0.07,,,,,,,,0.33,0.13,1.27,,4.36,132,206,0.00,-4.36
Bryce Hall,2564796,DB,TB,NO,,,,,,,,,,,,,,,,,,0.00,362,207,0.00,0.0
Darren Hall,2565821,DB,ARI,LAR,,,,,,,,,,,,,,,,,,0.00,363,208,0.00,0.0
Kemon Hall,2562975,DB,TEN,@CLE,,,,,,,,,,,,,,,,,,0.00,364,209,0.00,0.0
Tyler Hall,2563497,DB,SEA,@ATL,,,,,,,,,,,,,,,,,,0.00,365,210,0.00,0.0
