PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Elijah Holyfield,2562664,RB,CIN,,,,,,,,,,,,,,,,,,,,,,185,0.00
Caleb Huntley,2566692,RB,ATL,,,,,,,,,,,,19.64,,,,,,,,,,186,0.00
Jason Huntley,2563938,RB,PHI,,,,,,,,,,,,19.72,,,,,,,,,,187,0.00
Deon Jackson,2565603,RB,IND,,,,,,,,,,,,21.45,,,,,,,,,,188,0.00
Duke Johnson,2552461,RB,MIA,,,,,,,,,,,,23.99,,,,,,,,,,189,0.00
Kerryon Johnson,2560765,RB,FA,,,,,,,,,,,,,,,,,,,,,,190,0.00
Xavier Jones,2564364,RB,LA,,,,,,,,,,,,24.25,,,,,,,,,,191,0.00
Adrian Killins Jr.,2564841,RB,DEN,,,,,,,,,,,,25.90,,,,,,,,,,192,0.00
Benny LeMay,2563794,RB,FA,,,,,,,,,,,,,,,,,,,,,,193,0.00
Dion Lewis,2495469,RB,FA,,,,,,,,,,,,,,,,,,,,,,194,0.00
Ben Mason,2565845,RB,FA,,,,,,,,,,,,,,,,,,,,,,195,0.00
LeSean McCoy,79607,RB,FA,,,,,,,,,,,,,,,,,,,,,,196,0.00
Nate McCrary,2566617,RB,BAL,,,,,,,,,,,,22.11,,,,,,,,,,197,0.00
Elijah McGuire,2557934,RB,KC,,,,,,,,,,,,23.23,,,,,,,,,,198,0.00
Lamar Miller,2533034,RB,NO,,,,,,,,,,,,19.54,,,,,,,,,,199,0.00
Dedrick Mills,2566905,RB,FA,,,,,,,,,,,,,,,,,,,,,,200,0.00
Taquan Mizzell,2558975,RB,FA,,,,,,,,,,,,,,,,,,,,,,201,0.00
Alfred Morris,2533457,RB,FA,,,,,,,,,,,,,,,,,,,,,,202,0.00
Khalfani Muhammad,2558861,RB,FA,,,,,,,,,,,,,,,,,,,,,,203,0.00
Qadree Ollison,2562797,RB,ATL,,,,,,,,,,,,19.64,,,,,,,,,,204,0.00
Sewo Olonilua,2563857,RB,DAL,,,,,,,,,,,,24.56,,,,,,,,,,205,0.00
Malcolm Perry,2564484,RB,NE,,,,,,,,,,,,18.96,,,,,,,,,,206,0.00
Senorise Perry,2550633,RB,FA,,,,,,,,,,,,,,,,,,,,,,207,0.00
Artavis Pierce,2565417,RB,CHI,,,,,,,,,,,,,,,,,,,,,,208,0.00
Sandro Platzgummer,2565523,RB,NYG,,,,,,,,,,,,,,,,,,,,,,209,0.00
C.J. Prosise,2555417,RB,FA,,,,,,,,,,,,,,,,,,,,,,210,0.00
Trey Ragas,2565654,RB,LV,,,,,,,,,,,,21.46,,,,,,,,,,211,0.00
Craig Reynolds,2562834,RB,DET,,,,,,,,,,,,17.09,,,,,,,,,,212,0.00
Theo Riddick,2540020,RB,FA,,,,,,,,,,,,,,,,,,,,,,213,0.00
Jaylen Samuels,2560862,RB,HOU,,,,,,,,,,,,,,,,,,,,,,214,0.00
Jordan Scarlett,2562725,RB,FA,,,,,,,,,,,,,,,,,,,,,,215,0.00
Stevie Scott III,2565705,RB,FA,,,,,,,,,,,,,,,,,,,,,,216,0.00
Anthony Sherman,2495340,RB,FA,,,,,,,,,,,,,,,,,,,,,,217,0.00
Ito Smith,2559924,RB,FA,,,,,,,,,,,,,,,,,,,,,,218,0.00
Mason Stokke,2565579,RB,FA,,,,,,,,,,,,,,,,,,,,,,219,0.00
Patrick Taylor,2564040,RB,GB,,,,,,,,,,,,27.16,,,,,,,,,,220,0.00
Chris Thompson,2540011,RB,FA,,,,,,,,,,,,,,,,,,,,,,221,0.00
