PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Briley Moore-McKinney,2566956,TE,TEN,,,,,,,,,,,,11.83,,,,,,,,,,159,0.00
Quintin Morris,2566641,TE,FA,,,,,,,,,,,,,,,,,,,,,,160,0.00
Thaddeus Moss,2565288,TE,FA,,,,,,,,,,,,,,,,,,,,,,161,0.00
Chris Myarick,2563210,TE,FA,,,,,,,,,,,,,,,,,,,,,,162,0.00
Isaac Nauta,2562691,TE,FA,,,,,,,,,,,,,,,,,,,,,,163,0.00
Greg Olsen,2495700,TE,FA,,,,,,,,,,,,,,,,,,,,,,164,0.00
Jared Pinkney,2563518,TE,FA,,,,,,,,,,,,,,,,,,,,,,165,0.00
Tony Poljan,2566620,TE,FA,,,,,,,,,,,,,,,,,,,,,,166,0.00
Jake Powell,2563134,TE,FA,,,,,,,,,,,,,,,,,,,,,,167,0.00
Paul Quessenberry,2565531,TE,FA,,,,,,,,,,,,,,,,,,,,,,168,0.00
Kevin Rader,2561264,TE,FA,,,,,,,,,,,,,,,,,,,,,,169,0.00
Dax Raymond,2562710,TE,FA,,,,,,,,,,,,,,,,,,,,,,170,0.00
Jordan Reed,2540160,TE,FA,,,,,,,,,,,,,,,,,,,,,,171,0.00
Sammis Reyes,2565807,TE,WAS,,,,,,,,,,,,,,,,,,,,,,172,0.00
Ellis Richardson,2563081,TE,FA,,,,,,,,,,,,,,,,,,,,,,173,0.00
Richard Rodgers,2550313,TE,FA,,,,,,,,,,,,,,,,,,,,,,174,0.00
Mason Schreck,2558864,TE,FA,,,,,,,,,,,,,,,,,,,,,,175,0.00
Irv Smith,2562738,TE,MIN,,,,,,,,,,,,16.71,,,,,,,,,,176,0.00
Dylan Soehner,2565711,TE,NO,,,,,,,,,,,,11.44,,,,,,,,,,177,0.00
Matt Sokol,2562980,TE,FA,,,,,,,,,,,,,,,,,,,,,,178,0.00
Jeremy Sprinkle,2557886,TE,DAL,,,,,,,,,,,,6.16,,,,,,,,,,179,0.00
Jace Sternberger,2562744,TE,FA,,,,,,,,,,,,,,,,,,,,,,180,0.00
Stephen Sullivan,2565192,TE,FA,,,,,,,,,,,,,,,,,,,,,,181,0.00
Tyrone Swoopes,2559263,TE,FA,,,,,,,,,,,,,,,,,,,,,,182,0.00
