PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Quartney Davis,2564529,WR,IND,,,,,,,,,,,,32.43,,,,,,,,,,241,0.00
Rashard Davis,2559461,WR,FA,,,,,,,,,,,,,,,,,,,,,,242,0.00
Reggie Davis,2559324,WR,FA,,,,,,,,,,,,,,,,,,,,,,243,0.00
Gehrig Dieter,2559066,WR,KC,,,,,,,,,,,,22.14,,,,,,,,,,244,0.00
Derrick Dillon,2564730,WR,FA,,,,,,,,,,,,,,,,,,,,,,245,0.00
Keelan Doss,2562393,WR,FA,,,,,,,,,,,,,,,,,,,,,,246,0.00
Simi Fehoko,2566004,WR,DAL,,,,,,,,,,,,31.78,,,,,,,,,,247,0.00
Maurice Ffrench,2564277,WR,LAC,,,,,,,,,,,,33.45,,,,,,,,,,248,0.00
Chris Finke,2565099,WR,FA,,,,,,,,,,,,,,,,,,,,,,249,0.00
Larry Fitzgerald,2506106,WR,FA,,,,,,,,,,,,,,,,,,,,,,250,0.00
Dez Fitzpatrick,2566109,WR,TEN,,,,,,,,,,,,36.16,,,,,,,,,,251,0.00
Robert Foster,2560729,WR,DAL,,,,,,,,,,,,31.78,,,,,,,,,,252,0.00
Daurice Fountain,2559921,WR,KC,,,,,,,,,,,,22.14,,,,,,,,,,253,0.00
John Franklin,2561197,WR,FA,,,,,,,,,,,,,,,,,,,,,,254,0.00
Travis Fulgham,2562653,WR,MIA,,,,,,,,,,,,27.75,,,,,,,,,,255,0.00
