PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Jeremiah Attaochu,2543717,LB,CHI,@LV,,,,,,,,,,,,,,,,,,,157,0.00,,
Joe Bachie,2564661,LB,CIN,GB,,,,,,,,,,,,,,,,,,0.00,158,0.00,0.0,0.0
Markus Bailey,2563719,LB,CIN,GB,,,,,,,,,,,,,,,,,,0.85,159,0.00,0.85,-0.85
Cody Barton,2562472,LB,SEA,LA,,,,,,,,,,,,,,,,,,1.05,160,0.00,1.05,-1.05
Daren Bates,2541539,LB,ATL,NYJ,,,,,,,,,,,,,,,,,,0.00,161,0.00,0.0,0.0
Zack Baun,2564664,LB,NO,@WAS,,,,,,,,,,,,,,,,,,1.44,162,0.00,1.44,-1.44
Davin Bellamy,2560973,LB,FA,Bye,,,,,,,,,,,,,,,,,,,163,0.00,,
B.J. Bello,2559141,LB,TEN,@JAX,,,,,,,,,,,,,,,,,,,164,0.00,,
Francis Bernard,2563827,LB,DAL,NYG,,,,,,,,,,,,,,,,,,0.00,165,0.00,0.0,0.0
Rashod Berry,2564589,LB,DET,@MIN,,,,,,,,,,,,,,,,,,0.00,166,0.00,0.0,0.0
Jon Bostic,2539978,LB,WAS,NO,,,,,,,,,,,,,,,,,,,167,0.00,,
Jordan Brailford,2562441,LB,FA,Bye,,,,,,,,,,,,,,,,,,,168,0.00,,
K.J. Britt,2566559,LB,TB,MIA,,,,,,,,,,,,,,,,,,0.00,169,0.00,0.0,0.0
Cameron Brown,2564715,LB,NYG,@DAL,,,,,,,,,,,,,,,,,,0.00,170,0.00,0.0,0.0
Jayon Brown,2558005,LB,TEN,@JAX,,,,,,,,,,,,,,,,,,0.00,171,0.00,0.0,0.0
T.J. Brunson,2564718,LB,NYG,@DAL,,,,,,,,,,,,,,,,,,,172,0.00,,
Deone Bucannon,2543769,LB,FA,Bye,,,,,,,,,,,,,,,,,,,173,0.00,,
Ben Burr-Kirven,2562490,LB,SEA,LA,,,,,,,,,,,,,,,,,,,174,0.00,,
Josh Bynes,2530491,LB,BAL,IND,,,,,,,,,,,,,,,,,,0.00,175,0.00,0.0,0.0
Shilique Calhoun,2555294,LB,KC,BUF,,,,,,,,,,,,,,,,,,0.00,176,0.00,0.0,0.0
Austin Calitro,2558925,LB,FA,Bye,,,,,,,,,,,,,,,,,,,177,0.00,,
Blake Cashman,2562496,LB,NYJ,@ATL,,,,,,,,,,,,,,,,,,,178,0.00,,
Anthony Chickillo,2552266,LB,FA,Bye,,,,,,,,,,,,,,,,,,,179,0.00,,
Cole Christiansen,2565021,LB,LAC,CLE,,,,,,,,,,,,,,,,,,0.00,180,0.00,0.0,0.0
Bradley Chubb,2561020,LB,DEN,@PIT,,,,,,,,,,,,,,,,,,,181,0.00,,
Nick Coe,2564598,LB,FA,Bye,,,,,,,,,,,,,,,,,,,182,0.00,,
Will Compton,2540013,LB,FA,Bye,,,,,,,,,,,,,,,,,,,183,0.00,,
Ryan Connelly,2562638,LB,MIN,DET,,,,,,,,,,,,,,,,,,0.44,184,0.00,0.44,-0.44
Kamalei Correa,2555339,LB,FA,Bye,,,,,,,,,,,,,,,,,,,185,0.00,,
Jarrad Davis,2557855,LB,NYJ,@ATL,,,,,,,,,,,,,,,,,,0.00,186,0.00,0.0,0.0
Tae Davis,2561318,LB,HOU,NE,,,,,,,,,,,,,,,,,,,187,0.00,,
Thomas Davis,2506352,LB,FA,Bye,,,,,,,,,,,,,,,,,,,188,0.00,,
