PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Tony Jones,2564679,RB,NO,@PIT,,,,,,,,,,,,,0.00,125,0.00,0.0
Xavier Jones,2564364,RB,FA,Bye,,,,,,,,,,,,,,126,0.00,
Kyle Juszczyk,2540230,RB,SF,LAC,,,,,,,,,,,,,2.13,127,0.00,-2.13
Alvin Kamara,2558019,RB,NO,@PIT,,,,,,,,,,,,,12.63,128,0.00,-12.63
Joshua Kelley,2565054,RB,LAC,@SF,,,,,,,,,,,,,3.29,129,0.00,-3.29
John Kelly,2560777,RB,CLE,@MIA,,,,,,,,,,,,,0.00,130,0.00,0.0
Bam Knight,2568036,RB,NYJ,Bye,,,,,,,,,,,,,,131,0.00,
Brenden Knox,2566827,RB,FA,Bye,,,,,,,,,,,,,,132,0.00,
Patrick Laird,2563296,RB,TB,SEA,,,,,,,,,,,,,0.00,133,0.00,0.0
Phillip Lindsay,2559947,RB,IND,@LV,,,,,,,,,,,,,0.00,134,0.00,0.0
Marlon Mack,2558123,RB,SF,LAC,,,,,,,,,,,,,1.52,135,0.00,-1.52
Jordan Mason,2569257,RB,SF,LAC,,,,,,,,,,,,,1.47,136,0.00,-1.47
Alexander Mattison,2562682,RB,MIN,@BUF,,,,,,,,,,,,,5.70,137,0.00,-5.7
Christian McCaffrey,2557997,RB,CAR,ATL,,,,,,,,,,,,,18.25,138,0.00,-18.25
Nate McCrary,2566617,RB,FA,Bye,,,,,,,,,,,,,,139,0.00,
Anthony McFarland,2564994,RB,PIT,NO,,,,,,,,,,,,,0.00,140,0.00,0.0
Jerick McKinnon,2543715,RB,KC,JAX,,,,,,,,,,,,,4.99,141,0.00,-4.99
J.D. McKissic,2556440,RB,WAS,@PHI,,,,,,,,,,,,,7.11,142,0.00,-7.11
