PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Greg Olsen,2495700,TE,FA,,,,,,,,,,,,,,,,,,,,,,148,0.00
Donald Parham,2562394,TE,LAC,,,,,,,,,,,,11.20,,,,,1,,1,,1,149,0.00
Colby Parkinson,2565180,TE,SEA,,,,,,,,,,,,14.20,,,,,,,,,,150,0.00
Jared Pinkney,2563518,TE,FA,,,,,,,,,,,,,,,,,,,,,,151,0.00
Tony Poljan,2566620,TE,FA,,,,,,,,,,,,,,,,,,,,,,152,0.00
Jake Powell,2563134,TE,FA,,,,,,,,,,,,,,,,,,,,,,153,0.00
MyCole Pruitt,2552401,TE,TEN,,,,,,,,,,,,5.10,,,,,,,,,,154,0.00
Paul Quessenberry,2565531,TE,FA,,,,,,,,,,,,,,,,,,,,,,155,0.00
Kevin Rader,2561264,TE,FA,,,,,,,,,,,,,,,,,,,,,,156,0.00
Dax Raymond,2562710,TE,FA,,,,,,,,,,,,,,,,,,,,,,157,0.00
Jordan Reed,2540160,TE,FA,,,,,,,,,,,,,,,,,,,,,,158,0.00
Sammis Reyes,2565807,TE,WAS,,,,,,,,,,,,11.50,,,,,,,,,,159,0.00
Giovanni Ricci,2563668,TE,CAR,,,,,,,,,,,,3.80,,,,,,,,,,160,0.00
Ellis Richardson,2563081,TE,FA,,,,,,,,,,,,,,,,,,,,,,161,0.00
Richard Rodgers,2550313,TE,FA,,,,,,,,,,,,,,,,,,,,,,162,0.00
Drew Sample,2562720,TE,CIN,,,,,,,,,,,,4.50,,,,,,,,,,163,0.00
Mason Schreck,2558864,TE,FA,,,,,,,,,,,,,,,,,,,,,,164,0.00
Ricky Seals-Jones,2559248,TE,WAS,,,,,,,,,,,,11.50,,,,,,,,,,165,0.00
Adam Shaheen,2558144,TE,MIA,,,,,,,,,,,,3.90,,,,,,,,,,166,0.00
Irv Smith,2562738,TE,MIN,,,,,,,,,,,,6.10,,,,,,,,,,167,0.00
Lee Smith,2495347,TE,ATL,,,,,,,,,,,,9.90,,,,,,,,,,168,0.00
Dylan Soehner,2565711,TE,NO,,,,,,,,,,,,18.90,,,,,,,,,,169,0.00
Matt Sokol,2562980,TE,FA,,,,,,,,,,,,,,,,,,,,,,170,0.00
Jeremy Sprinkle,2557886,TE,DAL,,,,,,,,,,,,11.00,,,,,,,,,,171,0.00
Jace Sternberger,2562744,TE,FA,,,,,,,,,,,,,,,,,,,,,,172,0.00
Luke Stocker,2495234,TE,FA,,,,,,,,,,,,,,,,,,,,,,173,0.00
Jack Stoll,2567061,TE,PHI,,,,,,,,,,,,16.60,,,,,,,,,,174,0.00
