PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Cameron Goode,2567892,LB,MIA,LAC,,,,,,,,,,,,,,,,,,0.00,192,124,0.00,0.0
Jalen Graham,2570311,LB,SF,@TB,,,,,,,,,,,,,,,,,,0.00,193,125,0.00,0.0
Cedric Gray,2572063,LB,TEN,@LV,,,,,,,,,,,,,,,,,,0.00,194,126,0.00,0.0
Jonathan Greenard,2564070,LB,MIN,Bye,,,,,,,,,,,,,,,,,,,195,127,0.00,
Dre Greenlaw,2562428,LB,DEN,@NYJ,3.88,1.54,,0.12,,,,,,,,,,0.12,0.12,,,7.28,46,128,0.00,-7.28
Antonio Grier Jr.,2573566,LB,FA,Bye,,,,,,,,,,,,,,,,,,,196,129,0.00,
Kylan Guidry,2574513,LB,FA,Bye,,,,,,,,,,,,,,,,,,,197,130,0.00,
Derick Hall,2570329,LB,SEA,@JAX,1.43,1.21,0.43,0.36,,0.07,0.07,0.07,0.07,,0.07,,,,1,,0.07,5.93,63,131,0.00,-5.93
Malik Hamm,2570392,LB,BAL,LAR,,,,,,,,,,,,,,,,,,0.00,198,132,0.00,0.0
Nick Hampton,2570008,LB,LAR,@BAL,,,,,,,,,,,,,,,,,,0.00,199,133,0.00,0.0
Jake Hansen,2568870,LB,HOU,Bye,,,,,,,,,,,,,,,,,,,200,134,0.00,
Matt Harmon,2574347,LB,FA,Bye,,,,,,,,,,,,,,,,,,,201,135,0.00,
Devin Harper,2567499,LB,FA,Bye,,,,,,,,,,,,,,,,,,,202,136,0.00,
Jaylen Harrell,2572066,LB,TEN,@LV,0.9,0.56,0.06,0.23,,,,,,,,,,0.06,0.23,,,2.42,101,137,0.00,-2.42
Christian Harris,2567679,LB,HOU,Bye,,,,,,,,,,,,,,,,,,,203,138,0.00,
Darius Harris,2563108,LB,NE,@NO,,,,,,,,,,,,,,,,,,0.00,204,139,0.00,0.0
Malik Harrison,2563554,LB,PIT,CLE,1.54,1.09,0.06,0.11,,,,,,,,,,,0.11,,,3.30,92,140,0.00,-3.3
Daiyan Henley,2570281,LB,LAC,@MIA,4.32,3.36,0.06,0.48,0.12,0.06,,,,,,,,0.3,0.24,0.48,,10.85,11,141,0.00,-10.85
Nick Herbig,2570248,LB,PIT,CLE,1.2,0.74,0.34,0.34,,0.17,0.06,,,,,,,,0.74,,,4.46,78,142,0.00,-4.46
Shaka Heyward,2570831,LB,CIN,@GB,,,,,,,,,,,,,,,,,,0.00,205,143,0.00,0.0
Jordan Hicks,2552315,LB,FA,Bye,,,,,,,,,,,,,,,,,,,206,144,0.00,
Jay Higgins,2573930,LB,BAL,LAR,,,,,,,,,,,,,,,,,,0.00,207,145,0.00,0.0
Alex Highsmith,2564982,LB,PIT,CLE,1.98,1.44,0.54,0.6,,0.12,,,,,,,,0.24,1.32,,,7.49,43,146,0.00,-7.49
Jamal Hill,2572096,LB,HOU,Bye,,,,,,,,,,,,,,,,,,,208,147,0.00,
Josh Hines-Allen,2562619,LB,JAX,SEA,1.94,1.24,0.47,0.65,0.06,0.12,0.06,,,,,,,0.12,1.06,0.71,,7.11,48,148,0.00,-7.11
Michael Hoecht,2564346,LB,BUF,@ATL,,,,,,,,,,,,,,,,,,0.00,209,149,0.00,0.0
Cole Holcomb,2562872,LB,PIT,CLE,,,,,,,,,,,,,,,,,,0.00,210,150,0.00,0.0
Justin Hollins,2562285,LB,FA,Bye,,,,,,,,,,,,,,,,,,,211,151,0.00,
Ty'Ron Hopper,2572036,LB,GB,CIN,,,,,,,,,,,,,,,,,,0.00,212,152,0.00,0.0
Khaleke Hudson,2565279,LB,FA,Bye,,,,,,,,,,,,,,,,,,,213,153,0.00,
Jacob Hummel,2569390,LB,BAL,LAR,,,,,,,,,,,,,,,,,,0.00,214,154,0.00,0.0
Jalyx Hunt,2572378,LB,PHI,@NYG,0.79,0.51,0.08,0.11,,0.06,0.06,,,,,,,0.11,0.23,,,2.48,100,155,0.00,-2.48
Ruben Hyppolite II,2574011,LB,CHI,@WAS,,,,,,,,,,,,,,,,,,0.00,215,156,0.00,0.0
Thomas Incoom,2570921,LB,CAR,DAL,,,,,,,,,,,,,,,,,,0.00,216,157,0.00,0.0
Adisa Isaac,2571826,LB,BAL,LAR,,,,,,,,,,,,,,,,,,0.00,217,158,0.00,0.0
Jared Ivey,2574562,LB,SEA,@JAX,,,,,,,,,,,,,,,,,,0.00,218,159,0.00,0.0
Brennan Jackson,2572198,LB,LV,TEN,,,,,,,,,,,,,,,,,,0.00,219,160,0.00,0.0
D'Eryk Jackson,2574563,LB,FA,Bye,,,,,,,,,,,,,,,,,,,220,161,0.00,
D'Marco Jackson,2567967,LB,CHI,@WAS,,,,,,,,,,,,,,,,,,0.00,221,162,0.00,0.0
Dequan Jackson,2571041,LB,FA,Bye,,,,,,,,,,,,,,,,,,,222,163,0.00,
Nick Jackson,2574588,LB,TB,SF,,,,,,,,,,,,,,,,,,0.00,223,164,0.00,0.0
Curtis Jacobs,2572826,LB,FA,Bye,,,,,,,,,,,,,,,,,,,224,165,0.00,
Shemar James,2574077,LB,DAL,@CAR,1.77,0.91,0.06,0.23,,,,,,,,,,0.06,0.11,,,3.87,84,166,0.00,-3.87
Keonta Jenkins,2573964,LB,BUF,@ATL,,,,,,,,,,,,,,,,,,0.00,225,167,0.00,0.0
Anfernee Jennings,2564613,LB,NE,@NO,,,,,,,,,,,,,,,,,,0.00,226,168,0.00,0.0
Josey Jewell,2560763,LB,FA,Bye,,,,,,,,,,,,,,,,,,,227,169,0.00,
Buddy Johnson,2566454,LB,DAL,@CAR,,,,,,,,,,,,,,,,,,0.00,228,170,0.00,0.0
Caleb Johnson,2566743,LB,FA,Bye,,,,,,,,,,,,,,,,,,,229,171,0.00,
DJ Johnson,2569603,LB,CAR,DAL,0.74,0.29,0.06,0.06,,0.06,,,,,,,,0.06,0.11,,,1.91,103,172,0.00,-1.91
Dyontae Johnson,2570581,LB,FA,Bye,,,,,,,,,,,,,,,,,,,230,173,0.00,
Jamon Johnson,2574133,LB,GB,CIN,,,,,,,,,,,,,,,,,,0.00,231,174,0.00,0.0
Patrick Johnson,2566403,LB,PHI,@NYG,,,,,,,,,,,,,,,,,,0.00,232,175,0.00,0.0
Cam Jones,2570728,LB,NYJ,DEN,,,,,,,,,,,,,,,,,,0.00,233,176,0.00,0.0
Carl Jones,2572959,LB,CHI,@WAS,,,,,,,,,,,,,,,,,,0.00,234,177,0.00,0.0
Deion Jones,2555162,LB,TB,SF,,,,,,,,,,,,,,,,,,0.00,235,178,0.00,0.0
Ernest Jones,2566229,LB,SEA,@JAX,4.39,3.83,,0.17,0.06,0.06,,,,,,,,0.23,0.17,0.79,,10.24,17,179,0.00,-10.24
Matt Jones,2574299,LB,FA,Bye,,,,,,,,,,,,,,,,,,,236,180,0.00,
Patrick Jones II,2566307,LB,CAR,DAL,,,,,,,,,,,,,,,,,,0.00,237,181,0.00,0.0
Vi Jones,2568249,LB,FA,Bye,,,,,,,,,,,,,,,,,,,238,182,0.00,
Matthew Judon,2555505,LB,MIA,LAC,,,,,,,,,,,,,,,,,,0.00,239,183,0.00,0.0
Ale Kaho,2574611,LB,WAS,CHI,,,,,,,,,,,,,,,,,,0.00,240,184,0.00,0.0
Mohamed Kamara,2572243,LB,TB,SF,,,,,,,,,,,,,,,,,,0.00,241,185,0.00,0.0
Sam Kamara,2566746,LB,CLE,@PIT,,,,,,,,,,,,,,,,,,0.00,242,186,0.00,0.0
Khalid Kareem,2563734,LB,ATL,BUF,,,,,,,,,,,,,,,,,,0.00,243,187,0.00,0.0
Eric Kendricks,2552312,LB,FA,Bye,,,,,,,,,,,,,,,,,,,244,188,0.00,
Austin Keys,2574351,LB,MIN,Bye,,,,,,,,,,,,,,,,,,,245,189,0.00,
Kobe King,2574352,LB,MIN,Bye,,,,,,,,,,,,,,,,,,,246,190,0.00,
Jack Kiser,2574220,LB,JAX,SEA,,,,,,,,,,,,,,,,,,0.00,247,191,0.00,0.0
Demetrius Knight Jr.,2574031,LB,CIN,@GB,,,,,,,,,,,,,,,,,,0.00,248,192,0.00,0.0
Tyrice Knight,2572525,LB,SEA,@JAX,4.16,2.76,0.14,0.28,,0.06,0.06,,,,,,,0.17,0.39,,,9.49,25,193,0.00,-9.49
