PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Chris Finke,2565099,WR,FA,,,,,,,,,,,,,,,,,,,,,,180,0.00
Larry Fitzgerald,2506106,WR,FA,,,,,,,,,,,,,,,,,,,,,,181,0.00
Dez Fitzpatrick,2566109,WR,FA,,,,,,,,,,,,,,,,,,,,,,182,0.00
Isaiah Ford,2558071,WR,MIA,,,,,,,,,,,,39.60,,,,,1,,,,,183,0.00
Robert Foster,2560729,WR,FA,,,,,,,,,,,,,,,,,,,,,,184,0.00
Daurice Fountain,2559921,WR,FA,,,,,,,,,,,,,,,,,,,,,,185,0.00
John Franklin,2561197,WR,FA,,,,,,,,,,,,,,,,,,,,,,186,0.00
Travis Fulgham,2562653,WR,FA,,,,,,,,,,,,,,,,,,,,,,187,0.00
Aaron Fuller,2565150,WR,FA,,,,,,,,,,,,,,,,,,,,,,188,0.00
Will Fuller,2555346,WR,MIA,,,,,,,,,,,,39.60,,,,,,,,,,189,0.00
Devin Funchess,2552458,WR,FA,,,,,,,,,,,,,,,,,,,,,,190,0.00
Rico Gafford,2561331,WR,FA,,,,,,,,,,,,,,,,,,,,,,191,0.00
Russell Gage,2561061,WR,ATL,,,,,,,,,,,,,,,,,,,,,,192,0.00
Michael Gallup,2560735,WR,DAL,,,,,,,,,,,,50.50,,,,,,,,,,193,0.00
Antonio Gandy-Golden,2565273,WR,WAS,,,,,,,,,,,,9.40,,,,,,,,,,194,0.00
Tanner Gentry,2559176,WR,FA,,,,,,,,,,,,,,,,,,,,,,195,0.00
Terry Godwin,2562594,WR,JAX,,,,,,,,,,,,38.20,,,,,,,,,,196,0.00
Kenny Golladay,2558052,WR,NYG,,,,,,,,,,,,33.20,,,,,,,,,,197,0.00
Josh Gordon,2537931,WR,KC,,,,,,,,,,,,49.10,,,,,,,,,,198,0.00
Jakeem Grant,2556190,WR,CHI,,,,,,,,,,,,22.00,,,,,,,,,,199,0.00
Cyril Grayson,2558808,WR,FA,,,,,,,,,,,,,,,,,,,,,,200,0.00
Juwan Green,2563494,WR,FA,,,,,,,,,,,,,,,,,,,,,,201,0.00
Stephen Guidry,2565298,WR,FA,,,,,,,,,,,,,,,,,,,,,,202,0.00
Marvin Hall,2557034,WR,FA,,,,,,,,,,,,,,,,,,,,,,203,0.00
DaeSean Hamilton,2561002,WR,DEN,,,,,,,,,,,,39.00,,,,,,,,,,204,0.00
K.J. Hamler,2563890,WR,DEN,,,,,,,,,,,,39.00,,,,,,,,,,205,0.00
Josh Hammond,2564193,WR,FA,,,,,,,,,,,,,,,,,,,,,,206,0.00
Chad Hansen,2558069,WR,FA,,,,,,,,,,,,,,,,,,,,,,207,0.00
Kelvin Harmon,2562577,WR,FA,,,,,,,,,,,,,,,,,,,,,,208,0.00
De'Michael Harris,2564124,WR,FA,,,,,,,,,,,,,,,,,,,,,,209,0.00
Deonte Harris,2563155,WR,NO,,,,,,,,,,,,,,,,,,,,,,210,0.00
N'Keal Harry,2562659,WR,NE,,,,,,,,,,,,27.00,,,,,,,,,,211,0.00
Jeremiah Haydel,2566223,WR,FA,,,,,,,,,,,,,,,,,,,,,,212,0.00
Rashard Higgins,2555468,WR,CLE,,,,,,,,,,,,36.30,,,,,3,,1,,,213,0.00
John Hightower,2564829,WR,FA,,,,,,,,,,,,,,,,,,,,,,214,0.00
K.J. Hill,2565048,WR,FA,,,,,,,,,,,,,,,,,,,,,,215,0.00
Isaiah Hodgins,2563611,WR,FA,,,,,,,,,,,,,,,,,,,,,,216,0.00
Chris Hogan,2530515,WR,FA,,,,,,,,,,,,,,,,,,,,,,217,0.00
Krishawn Hogan,2559286,WR,FA,,,,,,,,,,,,,,,,,,,,,,218,0.00
Alexander Hollins,2562989,WR,FA,,,,,,,,,,,,,,,,,,,,,,219,0.00
Cody Hollister,2558955,WR,FA,,,,,,,,,,,,,,,,,,,,,,220,0.00
Lil'Jordan Humphrey,2562668,WR,NO,,,,,,,,,,,,,,,,,,,,,,221,0.00
Jalen Hurd,2562287,WR,SF,,,,,,,,,,,,,,,,,,,,,,222,0.00
Allen Hurns,2550353,WR,MIA,,,,,,,,,,,,39.60,,,,,,,,,,223,0.00
John Hurst,2565222,WR,FA,,,,,,,,,,,,,,,,,,,,,,224,0.00
Ishmael Hyman,2562953,WR,FA,,,,,,,,,,,,,,,,,,,,,,225,0.00
Josh Imatorbhebhe,2565621,WR,FA,,,,,,,,,,,,,,,,,,,,,,226,0.00
Trenton Irwin,2562900,WR,CIN,,,,,,,,,,,,29.40,,,,,,,,,,227,0.00
Andy Isabella,2562669,WR,ARI,,,,,,,,,,,,55.50,,,,,,,,,,228,0.00
Thomas Ives,2563076,WR,FA,,,,,,,,,,,,,,,,,,,,,,229,0.00
Trishton Jackson,2564355,WR,FA,,,,,,,,,,,,,,,,,,,,,,230,0.00
Richie James,2560761,WR,SF,,,,,,,,,,,,,,,,,,,,,,231,0.00
Alshon Jeffery,2533039,WR,FA,,,,,,,,,,,,,,,,,,,,,,232,0.00
Gary Jennings,2562292,WR,FA,,,,,,,,,,,,,,,,,,,,,,233,0.00
Jauan Jennings,2565114,WR,SF,,,,,,,,,,,,,,,,,,,,,,234,0.00
Jerry Jeudy,2563896,WR,DEN,,,,,,,,,,,,39.00,,,,,,,,,,235,0.00
Anthony Johnson,2562297,WR,FA,,,,,,,,,,,,,,,,,,,,,,236,0.00
Bisi Johnson,2562465,WR,MIN,,,,,,,,,,,,52.40,,,,,,,,,,237,0.00
Cade Johnson,2567115,WR,FA,,,,,,,,,,,,,,,,,,,,,,238,0.00
Johnathon Johnson,2565313,WR,FA,,,,,,,,,,,,,,,,,,,,,,239,0.00
Jon'Vea Johnson,2562839,WR,FA,,,,,,,,,,,,,,,,,,,,,,240,0.00
KeeSean Johnson,2562677,WR,FA,,,,,,,,,,,,,,,,,,,,,,241,0.00
Marcus Johnson,2556855,WR,TEN,,,,,,,,,,,,27.10,,,,,1,,,,,242,0.00
Tyler Johnson,2565225,WR,TB,,,,,,,,,,,,30.30,,,,,,,,,,243,0.00
Tyron Johnson,2562932,WR,JAX,,,,,,,,,,,,38.20,,,,,,,,,,244,0.00
Tim Jones,2565624,WR,FA,,,,,,,,,,,,,,,,,,,,,,245,0.00
Zay Jones,2557863,WR,LV,,,,,,,,,,,,30.00,,,,,,,,,,246,0.00
Travis Jonsen,2565228,WR,FA,,,,,,,,,,,,,,,,,,,,,,247,0.00
Darvin Kidsy,2561359,WR,FA,,,,,,,,,,,,,,,,,,,,,,248,0.00
Mason Kinsey,2565459,WR,FA,,,,,,,,,,,,,,,,,,,,,,249,0.00
Keith Kirkwood,2561224,WR,FA,,,,,,,,,,,,,,,,,,,,,,250,0.00
J.J. Koski,2564367,WR,LA,,,,,,,,,,,,50.90,,,,,,,,,,251,0.00
Jake Lampman,2556882,WR,FA,,,,,,,,,,,,,,,,,,,,,,252,0.00
Jarvis Landry,2543488,WR,CLE,,,,,,,,,,,,36.30,,,,,,,,,,253,0.00
Kai Locksley,2565675,WR,FA,,,,,,,,,,,,,,,,,,,,,,254,0.00
Austin Mack,2564760,WR,FA,,,,,,,,,,,,,,,,,,,,,,255,0.00
Josh Malone,2558127,WR,FA,,,,,,,,,,,,,,,,,,,,,,256,0.00
Jalen McCleskey,2563515,WR,FA,,,,,,,,,,,,,,,,,,,,,,257,0.00
Isaiah McKoy,2565786,WR,FA,,,,,,,,,,,,,,,,,,,,,,258,0.00
Racey McMath,2566112,WR,TEN,,,,,,,,,,,,27.10,,,,,,,,,,259,0.00
Kirk Merritt,2564481,WR,FA,,,,,,,,,,,,,,,,,,,,,,260,0.00
Marken Michel,2556616,WR,FA,,,,,,,,,,,,,,,,,,,,,,261,0.00
Jaydon Mickens,2556861,WR,FA,,,,,,,,,,,,,,,,,,,,,,262,0.00
Anthony Miller,2560810,WR,FA,,,,,,,,,,,,,,,,,,,,,,263,0.00
Scott Miller,2562865,WR,TB,,,,,,,,,,,,30.30,,,,,,,,,,264,0.00
Dax Milne,2566601,WR,WAS,,,,,,,,,,,,9.40,,,,,1,,,,,265,0.00
Denzel Mims,2564802,WR,NYJ,,,,,,,,,,,,,,,,,,,,,,266,0.00
Steven Mitchell,2560812,WR,FA,,,,,,,,,,,,,,,,,,,,,,267,0.00
Donte Moncrief,2543614,WR,FA,,,,,,,,,,,,,,,,,,,,,,268,0.00
D.J. Montgomery,2562827,WR,FA,,,,,,,,,,,,,,,,,,,,,,269,0.00
David Moore,2558856,WR,FA,,,,,,,,,,,,,,,,,,,,,,270,0.00
Elijah Moore,2566385,WR,NYJ,,,,,,,,,,,,,,,,,,,,,,271,0.00
Jason Moore,2562860,WR,FA,,,,,,,,,,,,,,,,,,,,,,272,0.00
Jaylon Moore,2565342,WR,FA,,,,,,,,,,,,,,,,,,,,,,273,0.00
JoJo Natson,2558905,WR,FA,,,,,,,,,,,,,,,,,,,,,,274,0.00
J.J. Nelson,2552656,WR,FA,,,,,,,,,,,,,,,,,,,,,,275,0.00
Dazz Newsome,2565932,WR,FA,,,,,,,,,,,,,,,,,,,,,,276,0.00
