PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Jeremy McNichols,2557977,RB,WAS,@MIA,,,,15.87,0.15,1.55,10.63,0.1,,,,0.06,4.81,47,143,0.00,-4.81
Dante Miller,2572336,RB,NYG,GB,,,,,,,,,,,,,0.00,179,144,0.00,0.0
Kendre Miller,2570149,RB,NO,Bye,,,,,,,,,,,,,,180,145,0.00,
Kendall Milton,2572741,RB,CIN,@PIT,,,,,,,,,,,,,0.00,181,146,0.00,0.0
Jordan Mims,2570768,RB,TEN,HOU,,,,,,,,,,,,,0.00,182,147,0.00,0.0
Elijah Mitchell,2566538,RB,KC,@DEN,,,,,,,,,,,,,0.00,183,148,0.00,0.0
Keaton Mitchell,2570428,RB,BAL,@CLE,,,,13.23,0.11,0.42,4.45,0.04,,,,0.04,2.80,61,149,0.00,-2.8
Joe Mixon,2557976,RB,HOU,@TEN,,,,3.96,0.04,0.1,0.76,,,,,0.01,0.74,77,150,0.00,-0.74
Kyle Monangai,2574015,RB,CHI,@MIN,,,,32.24,0.27,1.05,8.7,0.06,,,,0.1,6.40,41,151,0.00,-6.4
David Montgomery,2562502,RB,DET,@PHI,,,,38.43,0.53,1.85,14.68,0.11,,,,0.11,9.86,26,152,0.00,-9.86
Zack Moss,2563617,RB,FA,Bye,,,,,,,,,,,,,,184,153,0.00,
Raheem Mostert,2553728,RB,LV,DAL,,,,19.54,0.18,0.72,5.3,0.04,,,,0.06,4.04,53,154,0.00,-4.04
Kalel Mullings,2574156,RB,TEN,HOU,,,,,,,,,,,,,0.00,185,155,0.00,0.0
Devin Neal,2574402,RB,NO,Bye,,,,,,,,,,,,,,186,156,0.00,
Lew Nichols III,2569771,RB,PIT,CIN,,,,,,,,,,,,,0.00,187,157,0.00,0.0
Nate Noel,2574328,RB,FA,Bye,,,,,,,,,,,,,,188,158,0.00,
Sone Ntoh,2573945,RB,FA,Bye,,,,,,,,,,,,,,189,159,0.00,
Kene Nwangwu,2566313,RB,NYJ,@NE,,,,,,,,,,,,,0.00,190,160,0.00,0.0
Dare Ogunbowale,2559362,RB,HOU,@TEN,,,,2.72,0.02,0.12,1.02,0.01,,,,0.01,0.59,82,161,0.00,-0.59
Robbie Ouzts,2574572,RB,SEA,@LAR,,,,,,,,,,,,,0.00,191,162,0.00,0.0
Isiah Pacheco,2567808,RB,KC,@DEN,,,,37.47,0.23,1.36,8.4,0.09,,,,0.1,6.99,38,163,0.00,-6.99
Jaret Patterson,2567160,RB,LAC,@JAX,,,,,,,,,,,,,0.00,192,164,0.00,0.0
Samaje Perine,2558138,RB,CIN,@PIT,,,,38.17,0.23,1.53,11.94,0.08,,0.01,,0.32,7.06,37,165,0.00,-7.06
Dameon Pierce,2567685,RB,HOU,@TEN,,,,1.22,,0.02,0.16,,,,,0.01,0.13,92,166,0.00,-0.13
Tony Pollard,2562699,RB,TEN,HOU,,,,38.16,0.23,1.6,9.48,0.02,,,,0.09,6.88,39,167,0.00,-6.88
ShunDerrick Powell,2574471,RB,FA,Bye,,,,,,,,,,,,,,193,168,0.00,
Adam Prentice,2566872,RB,DEN,KC,,,,,,,,,,,,,0.00,194,169,0.00,0.0
Deneric Prince,2570707,RB,NE,NYJ,,,,,,,,,,,,,0.00,195,170,0.00,0.0
Craig Reynolds,2562834,RB,DET,@PHI,,,,3.03,,0.15,1.15,,,,,,0.49,84,171,0.00,-0.49
Patrick Ricard,2558990,RB,BAL,@CLE,,,,,,,,,,,,,0.00,196,172,0.00,0.0
Ronnie Rivers,2569185,RB,LAR,SEA,,,,,,,,,,,,,0.00,197,173,0.00,0.0
Kye Robichaux,2574119,RB,DET,@PHI,,,,,,,,,,,,,0.00,198,174,0.00,0.0
Bijan Robinson,2569558,RB,ATL,CAR,,,,100.32,0.45,4.41,37.34,0.3,,,,0.2,20.07,2,175,0.00,-20.07
Brian Robinson,2568348,RB,SF,@ARI,,,,13.88,0.13,0.29,2.25,0.02,,,,0.07,2.52,62,176,0.00,-2.52
Keilan Robinson,2572156,RB,NYJ,@NE,,,,,,,,,,,,,0.00,199,177,0.00,0.0
Chris Rodriguez Jr.,2570386,RB,WAS,@MIA,,,,24.14,0.16,0.29,2.43,0.02,,,,0.06,3.76,56,178,0.00,-3.76
Brady Russell,2570635,RB,SEA,@LAR,,,,,,,,,,,,,0.00,200,179,0.00,0.0
Dylan Sampson,2574062,RB,CLE,BAL,,,,7.11,0.08,1.19,8.41,0.08,,,,0.05,3.01,60,180,0.00,-3.01
Miles Sanders,2562722,RB,DAL,@LV,,,,,,,,,,,,,0.00,201,181,0.00,0.0
Raheim Sanders,2574529,RB,CLE,BAL,,,,0.1,,,0.02,,,,,,0.01,95,182,0.00,-0.01
