PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Ricardo Allen,2543850,DB,CIN,,,,,,,,,,,,,,,,,,226,0.00
Johnathan Alston,2561520,DB,FA,,,,,,,,,,,,,,,,,,227,0.00
Cornell Armstrong,2561147,DB,FA,,,,,,,,,,,,,,,,,,228,0.00
Grayland Arnold,2564814,DB,FA,,,,,,,,,,,,,,,,,,229,0.00
Jaytlin Askew,2566656,DB,FA,,,,,,,,,,,,,,,,,,230,0.00
Blessuan Austin,2562468,DB,SEA,,,,,,,,,,,,,,,,,,231,0.00
Corey Ballentine,2562228,DB,DET,,,,,,,,,,,,,,,,,,232,0.00
Chris Banjo,2541192,DB,ARI,,,,,,,,,,,,,,,,,,233,0.00
Luq Barcoo,2564160,DB,FA,,,,,,,,,,,,,,,,,,234,0.00
Essang Bassey,2563875,DB,DEN,,,,,,,,,,,,,,,,,,235,0.00
DeVante Bausby,2553790,DB,FA,,,,,,,,,,,,,,,,,,236,0.00
Sam Beal,2561643,DB,NYG,,,,,,,,,,,,,,,,,,237,0.00
Elijah Benton,2563758,DB,FA,,,,,,,,,,,,,,,,,,238,0.00
Justin Bethel,2532792,DB,NE,,,,,,,,,,,,,,,,,,239,0.00
Marquise Blair,2562233,DB,SEA,,,,,,,,,,,,,,,,,,240,0.00
Joshuah Bledsoe,2566331,DB,NE,,,,,,,,,,,,,,,,,,241,0.00
Briean Boddy-Calhoun,2556475,DB,FA,,,,,,,,,,,,,,,,,,242,0.00
Terrell Bonds,2563136,DB,FA,,,,,,,,,,,,,,,,,,243,0.00
Tre Boston,2543830,DB,FA,,,,,,,,,,,,,,,,,,244,0.00
A.J. Bouye,2541162,DB,CAR,,,,,,,,,,,,,,,,,,245,0.00
Kris Boyd,2562630,DB,MIN,,,,,,,,,,,,,,,,,,246,0.00
John Brannon,2565018,DB,FA,,,,,,,,,,,,,,,,,,247,0.00
Brady Breeze,2566103,DB,TEN,,,,,,,,,,,,,,,,,,248,0.00
Antoine Brooks Jr.,2564967,DB,FA,,,,,,,,,,,,,,,,,,249,0.00
Terrence Brooks,2543712,DB,HOU,,,,,,,,,,,,,,,,,,250,0.00
Jordan Brown,2562396,DB,FA,,,,,,,,,,,,,,,,,,251,0.00
Shakur Brown,2565774,DB,FA,,,,,,,,,,,,,,,,,,252,0.00
Tony Brown,2560982,DB,FA,,,,,,,,,,,,,,,,,,253,0.00
Tre Brown,2566550,DB,SEA,,,,,,,,,,,,,,,,,,254,0.00
Myles Bryant,2564592,DB,NE,,,,,,,,,,,,,,,,,,255,0.00
Terrell Burgess,2564331,DB,LA,,,,,,,,,,,,,,,,,,256,0.00
Artie Burns,2555344,DB,CHI,,,,,,,,,,,,,,,,,,257,0.00
Eric Burrell,2565696,DB,FA,,,,,,,,,,,,,,,,,,258,0.00
Deante Burton,2559109,DB,FA,,,,,,,,,,,,,,,,,,259,0.00
Malcolm Butler,2550613,DB,FA,,,,,,,,,,,,,,,,,,260,0.00
Elijah Campbell,2561455,DB,MIA,,,,,,,,,,,,,,,,,,261,0.00
Ibraheim Campbell,2552605,DB,FA,,,,,,,,,,,,,,,,,,262,0.00
T.J. Carrie,2550164,DB,IND,,,,,,,,,,,,,,,,,,263,0.00
Jamal Carter,2559321,DB,FA,,,,,,,,,,,,,,,,,,264,0.00
Anthony Chesley,2563235,DB,IND,,,,,,,,,,,,,,,,,,265,0.00
Marqui Christian,2556277,DB,CHI,,,,,,,,,,,,,,,,,,266,0.00
Patrick Chung,71251,DB,FA,,,,,,,,,,,,,,,,,,267,0.00
Andre Cisco,2566154,DB,JAX,,,,,,,,,,,,,,,,,,268,0.00
Chris Cooper,2561429,DB,FA,,,,,,,,,,,,,,,,,,269,0.00
Shaun Crawford,2565642,DB,FA,,,,,,,,,,,,,,,,,,270,0.00
Xavier Crawford,2562515,DB,CHI,,,,,,,,,,,,,,,,,,271,0.00
Ken Crawley,2556735,DB,NO,,,,,,,,,,,,,,,,,,272,0.00
Keion Crossen,2561157,DB,NYG,,,,,,,,,,,,,,,,,,273,0.00
Jordan Dangerfield,2541696,DB,FA,,,,,,,,,,,,,,,,,,274,0.00
DJ Daniel,2566653,DB,FA,,,,,,,,,,,,,,,,,,275,0.00
Cameron Dantzler,2564526,DB,MIN,,,,,,,,,,,,,,,,,,276,0.00
Ronald Darby,2552689,DB,DEN,,,,,,,,,,,,,,,,,,277,0.00
Ashtyn Davis,2564793,DB,NYJ,,,,,,,,,,,,,,,,,,278,0.00
Jalen Davis,2561316,DB,CIN,,,,,,,,,,,,,,,,,,279,0.00
Javaris Davis,2564265,DB,FA,,,,,,,,,,,,,,,,,,280,0.00
Sean Davis,2555386,DB,FA,,,,,,,,,,,,,,,,,,281,0.00
Shawn Davis,2565597,DB,FA,,,,,,,,,,,,,,,,,,282,0.00
Duke Dawson,2561040,DB,DEN,,,,,,,,,,,,,,,,,,283,0.00
Jamel Dean,2562556,DB,TB,,,,,,,,,,,,,,,,,,284,0.00
Donte' Deayon,2556512,DB,LA,,,,,,,,,,,,,,,,,,285,0.00
Stephen Denmark,2562874,DB,FA,,,,,,,,,,,,,,,,,,286,0.00
Darqueze Dennard,2543474,DB,FA,,,,,,,,,,,,,,,,,,287,0.00
Pierre Desir,2543811,DB,TB,,,,,,,,,,,,,,,,,,288,0.00
Khalil Dorsey,2565336,DB,BAL,,,,,,,,,,,,,,,,,,289,0.00
Rasul Douglas,2558168,DB,GB,,,,,,,,,,,,,,,,,,290,0.00
Quinton Dunbar,2553796,DB,FA,,,,,,,,,,,,,,,,,,291,0.00
Isaiah Dunn,2565720,DB,NYJ,,,,,,,,,,,,,,,,,,292,0.00
Nate Ebner,2535132,DB,NYG,,,,,,,,,,,,,,,,,,293,0.00
Corn Elder,2558171,DB,WAS,,,,,,,,,,,,,,,,,,294,0.00
Tino Ellis,2564670,DB,FA,,,,,,,,,,,,,,,,,,295,0.00
Brandon Facyson,2560719,DB,LV,,,,,,,,,,,,,,,,,,296,0.00
Caleb Farley,2566106,DB,TEN,,,,,,,,,,,,,,,,,,297,0.00
Clayton Fejedelem,2555355,DB,MIA,,,,,,,,,,,,,,,,,,298,0.00
Mark Fields,2562442,DB,FA,,,,,,,,,,,,,,,,,,299,0.00
