PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Donte Jackson,2560753,DB,CAR,@LA,,,,,,,,,,,,,,,,,,220,0.00
Eddie Jackson,2558176,DB,CHI,WAS,,,,,,,,,,,,,,,,,,221,0.00
J.C. Jackson,2560754,DB,LAC,DEN,,,,,,,,,,,,,,,,,,222,0.00
Kareem Jackson,496735,DB,DEN,@LAC,,,,,,,,,,,,,,,,,,223,0.00
Lamar Jackson,2565513,DB,CHI,WAS,,,,,,,,,,,,,,,,,,224,0.00
Mike Jackson,2562434,DB,SEA,ARI,,,,,,,,,,,,,,,,,,225,0.00
Robert Jackson,2561434,DB,FA,Bye,,,,,,,,,,,,,,,,,,226,0.00
Theo Jackson,2567652,DB,TEN,Bye,,,,,,,,,,,,,,,,,,227,0.00
William Jackson,2556367,DB,WAS,@CHI,,,,,,,,,,,,,,,,,,228,0.00
Jerry Jacobs,2566896,DB,DET,Bye,,,,,,,,,,,,,,,,,,229,0.00
Craig James,2561486,DB,NYJ,@GB,,,,,,,,,,,,,,,,,,230,0.00
Derwin James,2560760,DB,LAC,DEN,,,,,,,,,,,,,,,,,,231,0.00
Shemar Jean-Charles,2566079,DB,GB,NYJ,,,,,,,,,,,,,,,,,,232,0.00
Tony Jefferson,2540164,DB,NYG,BAL,,,,,,,,,,,,,,,,,,233,0.00
Janoris Jenkins,2532875,DB,FA,Bye,,,,,,,,,,,,,,,,,,234,0.00
Rayshawn Jenkins,2558182,DB,JAX,@IND,,,,,,,,,,,,,,,,,,235,0.00
Josh Jobe,2568087,DB,PHI,DAL,,,,,,,,,,,,,,,,,,236,0.00
Danny Johnson,2560764,DB,WAS,@CHI,,,,,,,,,,,,,,,,,,237,0.00
Dontae Johnson,2543739,DB,SF,@ATL,,,,,,,,,,,,,,,,,,238,0.00
Isaiah Johnson,2562675,DB,FA,Bye,,,,,,,,,,,,,,,,,,239,0.00
Jamar Johnson,2566031,DB,FA,Bye,,,,,,,,,,,,,,,,,,240,0.00
Jaquan Johnson,2562676,DB,BUF,@KC,,,,,,,,,,,,,,,,,,241,0.00
Jaylon Johnson,2563701,DB,CHI,WAS,,,,,,,,,,,,,,,,,,242,0.00
John Johnson,2558183,DB,CLE,NE,,,,,,,,,,,,,,,,,,243,0.00
Lonnie Johnson,2562295,DB,TEN,Bye,,,,,,,,,,,,,,,,,,244,0.00
Nazeeh Johnson,2567793,DB,KC,BUF,,,,,,,,,,,,,,,,,,245,0.00
Taron Johnson,2560766,DB,BUF,@KC,,,,,,,,,,,,,,,,,,246,0.00
Brandon Jones,2564469,DB,MIA,MIN,,,,,,,,,,,,,,,,,,247,0.00
Byron Jones,2552568,DB,MIA,MIN,,,,,,,,,,,,,,,,,,248,0.00
Jack Jones,2567940,DB,NE,@CLE,,,,,,,,,,,,,,,,,,249,0.00
Jaylon Jones,2567406,DB,CHI,WAS,,,,,,,,,,,,,,,,,,250,0.00
Jonathan Jones,2556571,DB,NE,@CLE,,,,,,,,,,,,,,,,,,251,0.00
Josh Jones,2558119,DB,SEA,ARI,,,,,,,,,,,,,,,,,,252,0.00
Marcus Jones,2567943,DB,NE,@CLE,,,,,,,,,,,,,,,,,,253,0.00
Sidney Jones,2557958,DB,SEA,ARI,,,,,,,,,,,,,,,,,,254,0.00
Karl Joseph,2555342,DB,PIT,TB,,,,,,,,,,,,,,,,,,255,0.00
Kelvin Joseph,2566010,DB,DAL,@PHI,,,,,,,,,,,,,,,,,,256,0.00
Kerby Joseph,2567550,DB,DET,Bye,,,,,,,,,,,,,,,,,,257,0.00
Michael Joseph,2560773,DB,FA,Bye,,,,,,,,,,,,,,,,,,258,0.00
Lamarcus Joyner,2543492,DB,NYJ,@GB,,,,,,,,,,,,,,,,,,259,0.00
Gregory Junior,2567748,DB,JAX,@IND,,,,,,,,,,,,,,,,,,260,0.00
Damontae Kazee,2558184,DB,PIT,TB,,,,,,,,,,,,,,,,,,261,0.00
Jayron Kearse,2555156,DB,DAL,@PHI,,,,,,,,,,,,,,,,,,262,0.00
Derion Kendrick,2567841,DB,LA,CAR,,,,,,,,,,,,,,,,,,263,0.00
Devon Key,2566995,DB,FA,Bye,,,,,,,,,,,,,,,,,,264,0.00
Bopete Keyes,2564292,DB,HOU,Bye,,,,,,,,,,,,,,,,,,265,0.00
Miles Killebrew,2555315,DB,PIT,TB,,,,,,,,,,,,,,,,,,266,0.00
Desmond King,2557927,DB,HOU,Bye,,,,,,,,,,,,,,,,,,267,0.00
Luther Kirk,2565304,DB,FA,Bye,,,,,,,,,,,,,,,,,,268,0.00
Quentin Lake,2567844,DB,LA,CAR,,,,,,,,,,,,,,,,,,269,0.00
Chris Lammons,2561226,DB,KC,BUF,,,,,,,,,,,,,,,,,,270,0.00
Marshon Lattimore,2558061,DB,NO,CIN,,,,,,,,,,,,,,,,,,271,0.00
Justin Layne,2562479,DB,NYG,BAL,,,,,,,,,,,,,,,,,,272,0.00
Dallin Leavitt,2561585,DB,GB,NYJ,,,,,,,,,,,,,,,,,,273,0.00
Cre'von LeBlanc,2556587,DB,FA,Bye,,,,,,,,,,,,,,,,,,274,0.00
Richard LeCounte III,2565977,DB,CLE,NE,,,,,,,,,,,,,,,,,,275,0.00
Deommodore Lenoir,2566535,DB,SF,@ATL,,,,,,,,,,,,,,,,,,276,0.00
Deane Leonard,2568180,DB,LAC,DEN,,,,,,,,,,,,,,,,,,277,0.00
