PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
John Brown,2543847,WR,JAX,@SEA,,,,,,,,,,,,0.00,143,0.00,0.0,0.0
Marquise Brown,2562379,WR,BAL,Bye,,,,,,,,,,,,,144,0.00,,
Tony Brown,2563764,WR,FA,Bye,,,,,,,,,,,,,145,0.00,,
Dez Bryant,497278,WR,FA,Bye,,,,,,,,,,,,,146,0.00,,
Ventell Bryant,2563267,WR,FA,Bye,,,,,,,,,,,,,147,0.00,,
Rico Bussey,2565780,WR,PIT,@CLE,,,,,,,,,,,,,148,0.00,,
Hakeem Butler,2562491,WR,FA,Bye,,,,,,,,,,,,,149,0.00,,
Damiere Byrd,2553499,WR,CHI,SF,,,,,,,,,,,,1.27,150,0.00,1.27,-1.27
Lawrence Cager,2565492,WR,CLE,PIT,,,,,,,,,,,,,151,0.00,,
Deon Cain,2560987,WR,PHI,@DET,,,,,,,,,,,,0.00,152,0.00,0.0,0.0
Antonio Callaway,2560988,WR,FA,Bye,,,,,,,,,,,,,153,0.00,,
Jalen Camp,2566148,WR,HOU,LA,,,,,,,,,,,,0.00,154,0.00,0.0,0.0
Parris Campbell,2562495,WR,IND,TEN,,,,,,,,,,,,,155,0.00,,
Dylan Cantrell,2560990,WR,WAS,@DEN,,,,,,,,,,,,,156,0.00,,
Quintez Cephus,2563926,WR,DET,PHI,,,,,,,,,,,,,157,0.00,,
D.J. Chark,2561018,WR,JAX,@SEA,,,,,,,,,,,,,158,0.00,,
Dan Chisena,2564514,WR,MIN,DAL,,,,,,,,,,,,0.93,159,0.00,0.93,-0.93
Matt Cole,2564442,WR,CAR,@ATL,,,,,,,,,,,,0.00,160,0.00,0.0,0.0
Pharoh Cooper,2555419,WR,NYG,@KC,,,,,,,,,,,,0.00,161,0.00,0.0,0.0
Isaiah Coulter,2564067,WR,CHI,SF,,,,,,,,,,,,0.00,162,0.00,0.0,0.0
Keke Coutee,2561029,WR,IND,TEN,,,,,,,,,,,,0.00,163,0.00,0.0,0.0
River Cracraft,2559485,WR,SF,@CHI,,,,,,,,,,,,0.00,164,0.00,0.0,0.0
Frank Darby,2565812,WR,ATL,CAR,,,,,,,,,,,,1.91,165,0.00,1.91,-1.91
Corey Davis,2557848,WR,NYJ,CIN,,,,,,,,,,,,0.00,166,0.00,0.0,0.0
Quartney Davis,2564529,WR,IND,TEN,,,,,,,,,,,,,167,0.00,,
Rashard Davis,2559461,WR,FA,Bye,,,,,,,,,,,,,168,0.00,,
Reggie Davis,2559324,WR,FA,Bye,,,,,,,,,,,,,169,0.00,,
Gehrig Dieter,2559066,WR,KC,NYG,,,,,,,,,,,,0.00,170,0.00,0.0,0.0
Derrick Dillon,2564730,WR,FA,Bye,,,,,,,,,,,,,171,0.00,,
Phillip Dorsett,2552424,WR,SEA,JAX,,,,,,,,,,,,0.00,172,0.00,0.0,0.0
Keelan Doss,2562393,WR,FA,Bye,,,,,,,,,,,,,173,0.00,,
Devin Duvernay,2563551,WR,BAL,Bye,,,,,,,,,,,,,174,0.00,,
Bryan Edwards,2564418,WR,LV,Bye,,,,,,,,,,,,,175,0.00,,
Alex Erickson,2556519,WR,CAR,@ATL,,,,,,,,,,,,0.83,176,0.00,0.83,-0.83
D'Wayne Eskridge,2566553,WR,SEA,JAX,,,,,,,,,,,,,177,0.00,,
Simi Fehoko,2566004,WR,DAL,@MIN,,,,,,,,,,,,0.00,178,0.00,0.0,0.0
Maurice Ffrench,2564277,WR,LAC,NE,,,,,,,,,,,,0.00,179,0.00,0.0,0.0
Chris Finke,2565099,WR,FA,Bye,,,,,,,,,,,,,180,0.00,,
Larry Fitzgerald,2506106,WR,FA,Bye,,,,,,,,,,,,,181,0.00,,
Dez Fitzpatrick,2566109,WR,TEN,@IND,,,,,,,,,,,,0.00,182,0.00,0.0,0.0
Isaiah Ford,2558071,WR,MIA,@BUF,,,,,,,,,,,,2.04,183,0.00,2.04,-2.04
Robert Foster,2560729,WR,DAL,@MIN,,,,,,,,,,,,0.00,184,0.00,0.0,0.0
Daurice Fountain,2559921,WR,KC,NYG,,,,,,,,,,,,0.00,185,0.00,0.0,0.0
John Franklin,2561197,WR,FA,Bye,,,,,,,,,,,,,186,0.00,,
Travis Fulgham,2562653,WR,MIA,@BUF,,,,,,,,,,,,0.00,187,0.00,0.0,0.0
Aaron Fuller,2565150,WR,SEA,JAX,,,,,,,,,,,,0.00,188,0.00,0.0,0.0
Will Fuller,2555346,WR,MIA,@BUF,,,,,,,,,,,,,189,0.00,,
Devin Funchess,2552458,WR,FA,Bye,,,,,,,,,,,,,190,0.00,,
Rico Gafford,2561331,WR,DEN,WAS,,,,,,,,,,,,0.00,191,0.00,0.0,0.0
Russell Gage,2561061,WR,ATL,CAR,,,,,,,,,,,,10.00,192,0.00,10.0,-10.0
Michael Gallup,2560735,WR,DAL,@MIN,,,,,,,,,,,,,193,0.00,,
Antonio Gandy-Golden,2565273,WR,WAS,@DEN,,,,,,,,,,,,0.51,194,0.00,0.51,-0.51
Tanner Gentry,2559176,WR,BUF,MIA,,,,,,,,,,,,,195,0.00,,
Terry Godwin,2562594,WR,JAX,@SEA,,,,,,,,,,,,,196,0.00,,
Kenny Golladay,2558052,WR,NYG,@KC,,,,,,,,,,,,0.00,197,0.00,0.0,0.0
Josh Gordon,2537931,WR,KC,NYG,,,,,,,,,,,,1.74,198,0.00,1.74,-1.74
Jakeem Grant,2556190,WR,CHI,SF,,,,,,,,,,,,1.84,199,0.00,1.84,-1.84
Juwan Green,2563494,WR,FA,Bye,,,,,,,,,,,,,200,0.00,,
Stephen Guidry,2565298,WR,FA,Bye,,,,,,,,,,,,,201,0.00,,
Marvin Hall,2557034,WR,ATL,CAR,,,,,,,,,,,,0.00,202,0.00,0.0,0.0
DaeSean Hamilton,2561002,WR,DEN,WAS,,,,,,,,,,,,0.00,203,0.00,0.0,0.0
K.J. Hamler,2563890,WR,DEN,WAS,,,,,,,,,,,,,204,0.00,,
Josh Hammond,2564193,WR,JAX,@SEA,,,,,,,,,,,,0.00,205,0.00,0.0,0.0
Chad Hansen,2558069,WR,FA,Bye,,,,,,,,,,,,,206,0.00,,
Kelvin Harmon,2562577,WR,WAS,@DEN,,,,,,,,,,,,0.00,207,0.00,0.0,0.0
De'Michael Harris,2564124,WR,IND,TEN,,,,,,,,,,,,0.00,208,0.00,0.0,0.0
Penny Hart,2562804,WR,SEA,JAX,,,,,,,,,,,,1.50,209,0.00,1.5,-1.5
Jeremiah Haydel,2566223,WR,FA,Bye,,,,,,,,,,,,,210,0.00,,
John Hightower,2564829,WR,PHI,@DET,,,,,,,,,,,,0.00,211,0.00,0.0,0.0
K.J. Hill,2565048,WR,LAC,NE,,,,,,,,,,,,0.00,212,0.00,0.0,0.0
Kendall Hinton,2563893,WR,DEN,WAS,,,,,,,,,,,,2.27,213,0.00,2.27,-2.27
KhaDarel Hodge,2561653,WR,DET,PHI,,,,,,,,,,,,5.02,214,0.00,5.02,-5.02
Isaiah Hodgins,2563611,WR,BUF,MIA,,,,,,,,,,,,0.00,215,0.00,0.0,0.0
Chris Hogan,2530515,WR,FA,Bye,,,,,,,,,,,,,216,0.00,,
Krishawn Hogan,2559286,WR,FA,Bye,,,,,,,,,,,,,217,0.00,,
Alexander Hollins,2562989,WR,FA,Bye,,,,,,,,,,,,,218,0.00,,
Cody Hollister,2558955,WR,FA,Bye,,,,,,,,,,,,,219,0.00,,
Lil'Jordan Humphrey,2562668,WR,NO,TB,,,,,,,,,,,,0.00,220,0.00,0.0,0.0
