PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Danny Vitale,2555218,RB,FA,Bye,,,,,,,,,,,,,217,0.00,,
Christian Wade,2562896,RB,BUF,PIT,,,,,,,,,,,,,218,0.00,,
Austin Walter,2563138,RB,NYJ,@CAR,,,,,,,,,,,,0.00,219,0.00,0.0,0.0
Jonathan Ward,2564949,RB,ARI,@TEN,,,,,,,,,,,,0.63,220,0.00,0.63,-0.63
DeAndre Washington,2555464,RB,FA,Bye,,,,,,,,,,,,,221,0.00,,
Dwayne Washington,2556118,RB,NO,GB,,,,,,,,,,,,0.64,222,0.00,0.64,-0.64
Mike Weber,2562775,RB,FA,Bye,,,,,,,,,,,,,223,0.00,,
Jordan Wilkins,2560933,RB,JAX,@HOU,,,,,,,,,,,,1.00,224,0.00,1.0,-1.0
Antonio Williams,2565393,RB,BUF,PIT,,,,,,,,,,,,0.00,225,0.00,0.0,0.0
Dexter Williams,2562784,RB,FA,Bye,,,,,,,,,,,,,226,0.00,,
Jonathan Williams,2555227,RB,FA,Bye,,,,,,,,,,,,,227,0.00,,
Pooka Williams Jr.,2566788,RB,CIN,MIN,,,,,,,,,,,,0.00,228,0.00,0.0,0.0
Trayveon Williams,2562600,RB,CIN,MIN,,,,,,,,,,,,0.00,229,0.00,0.0,0.0
Jeff Wilson,2560938,RB,SF,@DET,,,,,,,,,,,,0.00,230,0.00,0.0,0.0
T.J. Yeldon,2552471,RB,FA,Bye,,,,,,,,,,,,,231,0.00,,
Rhamondre Stevenson,2566343,RB,NE,MIA,,,,2,1,9,,,,,1,3.02,232,-0.40,3.02,-3.42
Ronald Jones,2560770,RB,TB,DAL,,,,14,,,,,,,1,8.69,233,-0.60,8.69,-9.29
