PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Chris Myarick,2563210,TE,HOU,IND,,,,,,,,,,,,,0.00,124,0.00,0.0
David Njoku,2557986,TE,CLE,BAL,,,,,,,,,,,,,7.38,125,0.00,-7.38
Thomas Odukoya,2568828,TE,TEN,@DET,,,,,,,,,,,,,0.00,126,0.00,0.0
Kehinde Oginni Hassan,2568426,TE,ATL,@TB,,,,,,,,,,,,,0.00,127,0.00,0.0
Andrew Ogletree,2567712,TE,IND,@HOU,,,,,,,,,,,,,0.71,128,0.00,-0.71
Chig Okonkwo,2567658,TE,TEN,@DET,,,,,,,,,,,,,3.46,129,0.00,-3.46
Albert Okwuegbunam,2563911,TE,PHI,@CIN,,,,,,,,,,,,,0.00,130,0.00,0.0
Josh Oliver,2562693,TE,MIN,@LAR,,,,,,,,,,,,,1.23,131,0.00,-1.23
Cade Otton,2568312,TE,TB,ATL,,,,,,,,,,,,,2.89,132,0.00,-2.89
Donald Parham,2562394,TE,DEN,CAR,,,,,,,,,,,,,0.00,133,0.00,0.0
Colby Parkinson,2565180,TE,LAR,MIN,,,,,,,,,,,,,3.99,134,0.00,-3.99
Henry Pearson,2570512,TE,FA,Bye,,,,,,,,,,,,,,135,0.00,
Josh Pederson,2567085,TE,FA,Bye,,,,,,,,,,,,,,136,0.00,
La'Michael Pettway,2571764,TE,FA,Bye,,,,,,,,,,,,,,137,0.00,
Chris Pierce,2569182,TE,FA,Bye,,,,,,,,,,,,,,138,0.00,
Kyle Pitts,2565830,TE,ATL,@TB,,,,,,,,,,,,,8.28,139,0.00,-8.28
Mason Pline,2573542,TE,SF,DAL,,,,,,,,,,,,,0.00,140,0.00,0.0
Gerrit Prince,2568960,TE,FA,Bye,,,,,,,,,,,,,,141,0.00,
MyCole Pruitt,2552401,TE,PIT,NYG,,,,,,,,,,,,,1.06,142,0.00,-1.06
Teagan Quitoriano,2567691,TE,CHI,@WAS,,,,,,,,,,,,,0.00,143,0.00,0.0
Kevin Rader,2561264,TE,FA,Bye,,,,,,,,,,,,,,144,0.00,
Tip Reiman,2572426,TE,ARI,@MIA,,,,,,,,,,,,,0.51,145,0.00,-0.51
Isaac Rex,2573142,TE,FA,Bye,,,,,,,,,,,,,,146,0.00,
Sammis Reyes,2565807,TE,MIN,@LAR,,,,,,,,,,,,,0.00,147,0.00,0.0
Giovanni Ricci,2563668,TE,FA,Bye,,,,,,,,,,,,,,148,0.00,
Mike Rigerman,2572630,TE,FA,Bye,,,,,,,,,,,,,,149,0.00,
Armani Rogers,2568351,TE,FA,Bye,,,,,,,,,,,,,,150,0.00,
Hayden Rucci,2573764,TE,MIA,ARI,,,,,,,,,,,,,0.00,151,0.00,0.0
Jeremy Ruckert,2568042,TE,NYJ,@NE,,,,,,,,,,,,,1.98,152,0.00,-1.98
Brady Russell,2570635,TE,SEA,BUF,,,,,,,,,,,,,0.00,153,0.00,0.0
Drew Sample,2562720,TE,CIN,PHI,,,,,,,,,,,,,1.17,154,0.00,-1.17
Ja'Tavion Sanders,2571892,TE,CAR,@DEN,,,,,,,,,,,,,2.29,155,0.00,-2.29
Eric Saubert,2558023,TE,SF,DAL,,,,,,,,,,,,,0.00,156,0.00,0.0
Luke Schoonmaker,2569690,TE,DAL,@SF,,,,,,,,,,,,,1.08,157,0.00,-1.08
Dalton Schultz,2560866,TE,HOU,IND,,,,,,,,,,,,,5.54,158,0.00,-5.54
Lincoln Sefcik,2572714,TE,FA,Bye,,,,,,,,,,,,,,159,0.00,
Bernhard Seikovits,2567076,TE,ARI,@MIA,,,,,,,,,,,,,0.00,160,0.00,0.0
Riley Sharp,2572636,TE,FA,Bye,,,,,,,,,,,,,,161,0.00,
John Shenker,2571099,TE,LV,KC,,,,,,,,,,,,,0.00,162,0.00,0.0
Ben Sims,2571198,TE,GB,@JAX,,,,,,,,,,,,,0.00,163,0.00,0.0
Ben Sinnott,2572585,TE,WAS,CHI,,,,,,,,,,,,,1.79,164,0.00,-1.79
Stone Smartt,2569227,TE,LAC,NO,,,,,,,,,,,,,0.61,165,0.00,-0.61
Irv Smith,2562738,TE,HOU,IND,,,,,,,,,,,,,0.00,166,0.00,0.0
Jonnu Smith,2558207,TE,MIA,ARI,,,,,,,,,,,,,3.86,167,0.00,-3.86
Durham Smythe,2560880,TE,MIA,ARI,,,,,,,,,,,,,1.19,168,0.00,-1.19
Matt Sokol,2562980,TE,FA,Bye,,,,,,,,,,,,,,169,0.00,
