PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Dontae Johnson,2543739,DB,SF,GB,2,1,,,,,,,,,,,,,,,,1.50,150,4.20,1.5,2.7
Jonathan Jones,2556571,DB,NE,NO,2,1,,,,,,,,,,,,,,,,,151,4.20,,
Jourdan Lewis,2557920,DB,DAL,PHI,2,1,,,,,,,,,,,,,,,,5.64,152,4.20,5.64,-1.44
James Pierre,2565003,DB,PIT,CIN,1,,,,,,,,,,,,,1,,,,3.04,153,4.20,3.04,1.16
Jamien Sherwood,2565762,DB,NYJ,@DEN,2,1,,,,,,,,,,,,,,,,,154,4.20,,
Jimmy Smith,2508107,DB,BAL,@DET,1,,,,,,,,,,,,,1,,,,4.20,155,4.20,4.2,0.0
Tremon Smith,2561103,DB,HOU,CAR,2,1,,,,,,,,,,,,,,,,7.93,156,4.20,7.93,-3.73
Greedy Williams,2562785,DB,CLE,CHI,1,,,,,,,,,,,,,1,,,,1.39,157,4.20,1.39,2.81
Chris Claybrooks,2564169,DB,JAX,ARI,1,3,,,,,,,,,,,,,,,,3.29,158,4.10,3.29,0.81
Juston Burris,2555313,DB,CAR,@HOU,2,,,,,,,,,,,,,,,,,,159,3.40,,
Camryn Bynum,2566295,DB,MIN,SEA,2,,,,,,,,,,,,,,,,,0.00,160,3.40,0.0,3.4
Maurice Canady,2555178,DB,DAL,PHI,2,,,,,,,,,,,,,,,,,,161,3.40,,
DeShon Elliott,2560715,DB,BAL,@DET,2,,,,,,,,,,,,,,,,,,162,3.40,,
Chris Jackson,2564049,DB,TEN,IND,2,,,,,,,,,,,,,,,,,3.50,163,3.40,3.5,-0.1
Rayshawn Jenkins,2558182,DB,JAX,ARI,2,,,,,,,,,,,,,,,,,10.49,164,3.40,10.49,-7.09
Bobby McCain,2552434,DB,WAS,@BUF,2,,,,,,,,,,,,,,,,,3.03,165,3.40,3.03,0.37
Devin McCourty,494287,DB,NE,NO,2,,,,,,,,,,,,,,,,,8.39,166,3.40,8.39,-4.99
Cameron Sutton,2558849,DB,PIT,CIN,2,,,,,,,,,,,,,,,,,8.08,167,3.40,8.08,-4.68
Levi Wallace,2560914,DB,BUF,WAS,2,,,,,,,,,,,,,,,,,5.98,168,3.40,5.98,-2.58
Marcus Williams,2558847,DB,NO,@NE,2,,,,,,,,,,,,,,,,,8.80,169,3.40,8.8,-5.4
James Bradberry,2555175,DB,NYG,ATL,,1,,,,,,,,,,,,1,,,,9.24,170,3.30,9.24,-5.94
Sean Chandler,2561017,DB,CAR,@HOU,1,2,,,,,,,,,,,,,,,,3.50,171,3.30,3.5,-0.2
Andrew Sendejo,2525323,DB,IND,@TEN,1,,,1,,,,,,,,,,,,,,1.07,172,3.20,1.07,2.13
Breon Borders,2559015,DB,TEN,IND,,,,,,,,,,,,,,1,,,,1.10,173,2.50,1.1,1.4
